"SMILES","SALT","SALT_RATIO","COMPOUND_ID","SAMPLE_ID","SUPPLIER","SUPPLIER_PART_NO","PARENT_AMW","PARENT_EMW","SALTED_MOLECULAR_WEIGHT","MOLECULAR_FORMULA","ALIQUOT_PLATE_BARCODE","ALIQUOT_WELL_ID","ALIQUOT_SOLVENT","ALIQUOT_CONC","ALIQUOT_CONC_UNIT","ALIQUOT_VOLUME","ALIQUOT_VOLUME_UNIT","SOLUBILITY","ALIQUOT_DATE","PURITY_PERCENT","ANALYSIS_DATE","PURITY_METHOD"
"COC(=O)c1cnc(NC(=O)C2=NN(C(=O)CC2)c3cc(C)ccc3C)s1",,,"CPD003148058","SAM004326849","Enamine","Z169702962",386.4249,386.1048,386.4249,"C18H18N4O4S","BF00010941","L03","DMSO",10.09,"mM",12,"uL","Soluble","28-Mar-14",98.48,"2014-03-28T07:00:00.0","LCELS_MUX2"
"CCOc1cc(ccc1O)C(=O)CCC(=O)OCC(=O)N2CC3(C)CC2CC(C)(C)C3",,,"CPD002319609","SAM004286364","Enamine","Z25153626",431.5311,431.2307,431.5311,"C24H33NO6","BF00010941","M03","DMSO",10.2,"mM",12,"uL","Soluble","28-Mar-14",98.79,"2014-03-28T07:00:00.0","LCUV214_MUX2"
"Cc1ccc(F)cc1NC(=O)c2cccc([N+](=O)[O-])c2C",,,"CPD003148251","SAM004327089","Enamine","Z30904399",288.279,288.091,288.279,"C15H13FN2O3","BF00010941","N03","DMSO",10.06,"mM",12,"uL","Soluble","28-Mar-14",97.06,"2014-03-28T07:00:00.0","LCUV214_MUX2"
"COc1cc(/C=C/C(=O)OCc2c(C)noc2C)ccc1OC(F)F",,,"CPD000343538","SAM004286575","Enamine","Z15675816",353.3236,353.1074,353.3236,"C17H17F2NO5","BF00010941","O03","DMSO",10.19,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCELS_MUX2"
"CC(Oc1ccc(cc1)C#N)C(=O)Nc2ccc(nc2)N3CCCCC3",,,"CPD003156968","SAM004337171","Enamine","Z227268732",350.4142,350.1742,350.4142,"C20H22N4O2","BF00010941","P03","DMSO",10.27,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCELS_MUX2"
"COC(=O)c1ccccc1CN2N=NN(C2=O)c3cccs3",,,"CPD002291651","SAM004300938","Enamine","Z803158208",316.335,316.063,316.335,"C14H12N4O3S","BF00010941","A04","DMSO",10.12,"mM",12,"uL","Soluble","28-Mar-14",96.09,"2014-03-28T07:00:00.0","LCELS_MUX2"
"COC(=O)C(CC(C)C)NC(=O)c1cc2c(nc3sccn23)s1",,,"CPD002198872","SAM004335985","Enamine","Z68908657",351.4437,351.0711,351.4437,"C15H17N3O3S2","BF00010941","B04","DMSO",10.24,"mM",12,"uL","Soluble","28-Mar-14",97.27,"2014-03-28T07:00:00.0","LCELS_MUX2"
"CNC(=O)NC(=O)C(OC(=O)c1cccc(c1)S(=O)(=O)NC)c2ccccc2",,,"CPD003125872","SAM004300710","Enamine","Z19296357",405.4249,405.0994,405.4249,"C18H19N3O6S","BF00010941","C04","DMSO",10.11,"mM",12,"uL","Soluble","28-Mar-14",97.91,"2014-03-29T07:00:00.0","LCELS_UPLC3"
"CC(N1CCN(CC1)c2cc(Cl)nc(N)n2)c3nc4ccccc4s3",,,"CPD003156251","SAM004336333","Enamine","Z328646466",374.8909,374.108,374.8909,"C17H19ClN6S","BF00010941","D04","DMSO",10.14,"mM",12,"uL","Soluble","28-Mar-14",98.32,"2014-03-28T07:00:00.0","LCUV214_MUX2"
"Fc1cn(C2CCCO2)c(=O)n(Cc3nnc(o3)c4ccccc4Br)c1=O",,,"CPD001306029","SAM004300694","Enamine","Z107296270",437.2258,436.0182,437.2258,"C17H14BrFN4O4","BF00010941","E04","DMSO",10.06,"mM",12,"uL","Soluble","28-Mar-14",94.75,"2014-03-28T07:00:00.0","LCELS_MUX2"
"O=C(Nc1cccc(c1)c2ocnn2)c3ccccc3c4ccc(Cn5cccn5)cc4",,,"CPD003156163","SAM004336234","Enamine","Z324719664",421.4506,421.1538,421.4506,"C25H19N5O2","BF00010941","F04","DMSO",10.2,"mM",12,"uL","Soluble","28-Mar-14",98.66,"2014-03-28T07:00:00.0","LCUV214_MUX2"
"NS(=O)(=O)c1ccc2nc(NC(=O)c3ccccc3OC(F)F)sc2c1",,,"CPD002190239","SAM004298138","Enamine","Z26873651",399.3923,399.0159,399.3923,"C15H11F2N3O4S2","BF00010941","G04","DMSO",10.02,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCELS_MUX2"
"CCCn1c(NC(=O)c2ccc(O)nc2)nc3ccccc13",,,"CPD003156631","SAM004336784","Enamine","Z29078076",296.3238,296.1273,296.3238,"C16H16N4O2","BF00010941","H04","DMSO",10.12,"mM",12,"uL","Soluble","28-Mar-14",98.79,"2014-03-28T07:00:00.0","LCELS_MUX2"
"COc1cccc(CCNc2ncnc3[nH]ncc23)c1OC",,,"CPD003123834","SAM004298164","Enamine","Z646276930",299.3277,299.1382,299.3277,"C15H17N5O2","BF00010941","I04","DMSO",10.02,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCUV214_MUX2"
"O=C(Nc1nnc[nH]1)C(Cc2ccccc2)NC(=O)c3occc3",,,"CPD003148300","SAM004327151","Enamine","Z352542166",325.322,325.1174,325.322,"C16H15N5O3","BF00010941","J04","DMSO",10.14,"mM",12,"uL","Soluble","28-Mar-14",97.33,"2014-03-28T07:00:00.0","LCELS_MUX2"
"NC(=O)c1cccc(NC(=O)c2cccc(Cl)c2Cl)c1",,,"CPD003123761","SAM004298078","Enamine","Z29177252",309.1474,308.0119,309.1474,"C14H10Cl2N2O2","BF00010941","K04","DMSO",10.03,"mM",12,"uL","Soluble","28-Mar-14",98.62,"2014-03-28T07:00:00.0","LCELS_MUX2"
"Oc1ccc(cc1)n2nnnc2SCc3nnc(s3)C(=O)NCc4ccc(F)cc4",,,"CPD003156869","SAM004337059","Enamine","Z351902192",443.4778,443.0634,443.4778,"C18H14FN7O2S2","BF00010941","L04","DMSO",10.15,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCUV214_MUX2"
"COc1cc(Br)c(CN2C(=O)NC(C)(C2=O)c3cccc(c3)n4cnnn4)cc1OC",,,"CPD003123787","SAM004298111","Enamine","Z134661058",487.3066,486.0651,487.3066,"C20H19BrN6O4","BF00010941","M04","DMSO",10.06,"mM",12,"uL","Soluble","28-Mar-14",91.64,"2014-03-28T07:00:00.0","LCELS_MUX2"
"NS(=O)(=O)c1cccc(c1)S(=O)(=O)Oc2cccc(Br)c2",,,"CPD003149017","SAM004327990","Enamine","Z237749808",392.2455,390.9183,392.2455,"C12H10BrNO5S2","BF00010941","N04","DMSO",10.2,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-29T07:00:00.0","LCUV214_UPLC3"
"COc1ccc(cc1S(=O)(=O)NC2CCCC2)C(=O)N3C4CCN(C)CC4c5cc(C)ccc35",,,"CPD003124054","SAM004298412","Enamine","Z212154598",483.6229,483.2191,483.6229,"C26H33N3O4S","BF00010941","O04","DMSO",10.13,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCELS_MUX2"
"CC(OC(=O)CCN1c2ccccc2Sc3ccccc13)C(=O)N",,,"CPD003149088","SAM004328070","Enamine","Z19019007",342.4121,342.1038,342.4121,"C18H18N2O3S","BF00010941","P04","DMSO",10.22,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCELS_MUX2"
"COc1ccc(cc1)C(=O)/C=C/c2cn(CCC(=O)O)nc2c3ccc(OC)c(OC)c3",,,"CPD003115284","SAM004286752","Enamine","Z56896752",436.4658,436.1634,436.4658,"C24H24N2O6","BF00010941","A05","DMSO",10.08,"mM",12,"uL","Soluble","28-Mar-14",91.68,"2014-03-28T07:00:00.0","LCELS_MUX2"
"Fc1ccc(C(=O)Nc2cccc(c2)c3nnnn3C4CC4)c(Cl)c1",,,"CPD003157271","SAM004337543","Enamine","Z221485292",357.7694,357.0792,357.7694,"C17H13ClFN5O","BF00010941","B05","DMSO",10.06,"mM",12,"uL","Soluble","28-Mar-14",97.75,"2014-03-28T07:00:00.0","LCUV214_MUX2"
"CCOc1ccc(cc1)S(=O)(=O)NCCC(=O)OCC(=O)c2ccc[nH]2",,,"CPD000371485","SAM004286570","Enamine","Z24808852",380.4168,380.1042,380.4168,"C17H20N2O6S","BF00010941","C05","DMSO",10.25,"mM",12,"uL","Soluble","28-Mar-14",96.42,"2014-03-28T07:00:00.0","LCELS_MUX2"
"Nc1[nH]nc(CCCNc2nc(nc3ccccc23)c4ccccc4)c1C#N",,,"CPD002403333","SAM004337699","Enamine","Z86317511",369.4224,369.1701,369.4224,"C21H19N7","BF00010941","D05","DMSO",10.02,"mM",12,"uL","Soluble","28-Mar-14",97.34,"2014-03-28T07:00:00.0","LCUV214_MUX2"
"CC(OC(=O)c1ccccc1F)C(=O)Nc2cccc(c2)[N+](=O)[O-]",,,"CPD003115254","SAM004286708","Enamine","Z19797255",332.2888,332.0808,332.2888,"C16H13FN2O5","BF00010941","E05","DMSO",10.23,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-29T07:00:00.0","LCELS_UPLC3"
"Cc1ccc(cc1C)n2ccnc2SCC(=O)N3CCN(CC(=O)NC4CC4)CC3",,,"CPD003157954","SAM004338365","Enamine","Z102132594",427.5629,427.2041,427.5629,"C22H29N5O2S","BF00010941","F05","DMSO",10.06,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCUV214_MUX2"
"CCOC(=O)/C=C/C(=O)OCC(=O)Nc1c(Cl)cccc1Cl",,,"CPD000348612","SAM004286951","Enamine","Z19772229",346.1677,345.017,346.1677,"C14H13Cl2NO5","BF00010941","G05","DMSO",10.11,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCELS_MUX2"
"Cc1cc(C(=O)CN2C(=O)NC(C)(C2=O)c3ccc4ccccc4c3)c(C)[nH]1",,,"CPD003157788","SAM004338152","Enamine","Z237761772",375.4204,375.1582,375.4204,"C22H21N3O3","BF00010941","H05","DMSO",10.12,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCELS_MUX2"
"CC1(CC1(Cl)Cl)C(=O)NC(=S)NNS(=O)(=O)c2ccc(Br)cc2",,,"CPD003115333","SAM004286826","Enamine","Z56876128",461.1763,458.888,461.1763,"C12H12BrCl2N3O3S2","BF00010941","I05","DMSO",10.19,"mM",12,"uL","Soluble","28-Mar-14",99.16,"2014-03-28T07:00:00.0","LCELS_MUX2"
"CC(Oc1ccc(cc1)C#N)C(=O)Nc2nc(CN3CCC(C)CC3)cs2",,,"CPD003158019","SAM004338433","Enamine","Z29128775",384.4951,384.1619,384.4951,"C20H24N4O2S","BF00010941","J05","DMSO",10.14,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCUV214_MUX2"
"FC(F)Oc1ccc(NC(=NN=C(S)Nc2cccnc2)S)cc1",,,"CPD003115373","SAM004286885","Enamine","Z45857495",369.4078,369.0529,369.4078,"C14H13F2N5OS2","BF00010941","K05","DMSO",10.02,"mM",12,"uL","Soluble","28-Mar-14",92.01,"2014-03-28T07:00:00.0","LCELS_MUX2"
"CCc1nnsc1C(=O)Nc2cccc(c2)[N+](=O)[O-]",,,"CPD003158132","SAM004338570","Enamine","Z90707913",278.287,278.0473,278.287,"C11H10N4O3S","BF00010941","L05","DMSO",10.06,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCUV214_MUX2"
"O=C(CCN1C(=O)c2ccccc2C1=O)Oc3ccccc3C#N",,,"CPD003113032","SAM004283433","Enamine","Z26747816",320.305,320.0797,320.305,"C18H12N2O4","BF00010941","M05","DMSO",10.3,"mM",12,"uL","Soluble","28-Mar-14",90.13,"2014-03-29T07:00:00.0","LCELS_UPLC3"
"CC(Sc1nnc(CN2CCCCC2)n1c3ccc(F)cc3)C(=O)Nc4cc(C)on4",,,"CPD003158323","SAM004338846","Enamine","Z113030220",444.5256,444.1743,444.5256,"C21H25FN6O2S","BF00010941","N05","DMSO",10.12,"mM",12,"uL","Soluble","28-Mar-14",98.29,"2014-03-28T07:00:00.0","LCUV214_MUX2"
"Cc1cc(C)n(n1)c2ccc(cc2)C(=O)Nc3ccccc3C#N",,,"CPD003113202","SAM004283715","Enamine","Z26488977",316.3632,316.1324,316.3632,"C19H16N4O","BF00010941","O05","DMSO",10.11,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCELS_MUX2"
"COC(=O)c1cc(cc(c1)[N+](=O)[O-])C(=O)NC2CCSc3ccc(F)cc23",,,"CPD003158385","SAM004338930","Enamine","Z131470826",390.3855,390.0685,390.3855,"C18H15FN2O5S","BF00010941","P05","DMSO",10.25,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCELS_MUX2"
"Fc1ccc(C(=O)OCC(=O)N2CCNC2=O)c(Br)c1",,,"CPD003124142","SAM004298517","Enamine","Z92460311",345.1212,343.9807,345.1212,"C12H10BrFN2O4","BF00010941","A06","DMSO",10.14,"mM",12,"uL","Soluble","28-Mar-14",97.33,"2014-03-28T07:00:00.0","LCUV214_MUX2"
"Fc1ccc(NC(=O)CSCC(=O)NNC(=O)c2c[nH]c3ccccc23)cc1",,,"CPD003149176","SAM004328168","Enamine","Z82509765",400.4266,400.1005,400.4266,"C19H17FN4O3S","BF00010941","B06","DMSO",10.24,"mM",12,"uL","Soluble","28-Mar-14",96.72,"2014-03-29T07:00:00.0","LCELS_MUX2"
"Nc1[nH]c2cc(ccc2c1C#N)[N+](=O)[O-]",,,"CPD000853691","SAM004298859","Enamine","Z56772850",202.1726,202.049,202.1726,"C9H6N4O2","BF00010941","C06","DMSO",10.39,"mM",12,"uL","Soluble","28-Mar-14",96.45,"2014-03-29T07:00:00.0","LCELS_UPLC3"
"CC(NC(=O)COC(=O)c1ccc(O)cc1O)c2ccccc2",,,"CPD003149114","SAM004328099","Enamine","Z25219116",315.3205,315.1106,315.3205,"C17H17NO5","BF00010941","D06","DMSO",10.15,"mM",12,"uL","Soluble","28-Mar-14",97.56,"2014-03-29T07:00:00.0","LCUV214_MUX2"
"COC(=O)c1c(C)[nH]c(C(=O)C(C)N2C(=O)NC(C)(C2=O)c3ccc(Cl)cc3)c1C",,,"CPD003130491","SAM004306299","Enamine","Z13592681",431.8694,431.1247,431.8694,"C21H22ClN3O5","BF00010941","E06","DMSO",10.19,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-29T07:00:00.0","LCUV214_UPLC3"
"CC(OC(=O)Cc1ccc(C)c(C)c1)C(=O)Nc2ccc(cc2)S(=O)(=O)N",,,"CPD003149254","SAM004328261","Enamine","Z25337918",390.4554,390.1249,390.4554,"C19H22N2O5S","BF00010941","F06","DMSO",10.24,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-29T07:00:00.0","LCELS_UPLC3"
"CN(C)c1ccc(Cl)cc1NC(=O)Cn2cnnn2",,,"CPD003130459","SAM004306263","Enamine","Z28565115",280.7135,280.0839,280.7135,"C11H13ClN6O","BF00010941","G06","DMSO",10.33,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCELS_MUX2"
"Fc1ccc(Oc2ccc(NC(=O)c3cccc(c3)n4cnnn4)cn2)cc1",,,"CPD003149444","SAM004328471","Enamine","Z422228432",376.3439,376.1084,376.3439,"C19H13FN6O2","BF00010941","H06","DMSO",10.1,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-29T07:00:00.0","LCUV214_MUX2"
"[O-][N+](=O)c1cnc(NC2CCCCCC2)c(C#N)c1",,,"CPD000842956","SAM004306320","Enamine","Z127141730",260.2966,260.1273,260.2966,"C13H16N4O2","BF00010941","I06","DMSO",10.37,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCUV214_MUX2"
"CCOc1ccc(cc1)S(=O)(=O)N2CCN(CC(=O)C3=C(N)N(C)C(=O)N(C)C3=O)CC2",,,"CPD003149812","SAM004328902","Enamine","Z46261456",465.5232,465.1682,465.5232,"C20H27N5O6S","BF00010941","J06","DMSO",10.1,"mM",12,"uL","Soluble","28-Mar-14",98.36,"2014-03-29T07:00:00.0","LCUV214_MUX2"
"CCOc1ccccc1n2nnnc2SCn3nnc4ccccc4c3=O",,,"CPD000839730","SAM004306671","Enamine","Z19504115",381.4127,381.1007,381.4127,"C17H15N7O2S","BF00010941","K06","DMSO",10.23,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCUV214_MUX2"
"CCCC1=NNC(=S)N1CC(=O)NCc2ccc(nc2)N3CC(C)OC(C)C3",,,"CPD003149673","SAM004328744","Enamine","Z424244328",404.5296,404.1994,404.5296,"C19H28N6O2S","BF00010941","L06","DMSO",10.14,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-29T07:00:00.0","LCELS_MUX2"
"[O-][N+](=O)c1ccccc1C(=O)NC2CCOc3ccccc23",,,"CPD003130710","SAM004306591","Enamine","Z73327409",298.299,298.0953,298.299,"C16H14N2O4","BF00010941","M06","DMSO",10.06,"mM",12,"uL","Soluble","28-Mar-14",98.4,"2014-03-28T07:00:00.0","LCUV214_MUX2"
"CC1(NC(=O)N(NC(=O)c2csc(Br)c2)C1=O)c3ccccc3",,,"CPD003150107","SAM004329253","Enamine","Z332811416",394.243,392.9782,394.243,"C15H12BrN3O3S","BF00010941","N06","DMSO",10.15,"mM",12,"uL","Soluble","28-Mar-14",97.59,"2014-03-29T07:00:00.0","LCUV214_MUX2"
"OC(=O)c1ccc(cc1)S(=O)(=O)Nc2ccc3OC4(CCCC4)Oc3c2",,,"CPD003130818","SAM004306723","Enamine","Z45666640",375.3971,375.0776,375.3971,"C18H17NO6S","BF00010941","O06","DMSO",10.12,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-29T07:00:00.0","LCELS_UPLC3"
"CC(C)c1nc(C)cc(SC(C)C(=O)Nc2ccc(cc2)S(=O)(=O)N3CCCC3)n1",,,"CPD003149872","SAM004328966","Enamine","Z152124724",448.602,448.1602,448.602,"C21H28N4O3S2","BF00010941","P06","DMSO",10.03,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-29T07:00:00.0","LCELS_MUX2"
"Oc1c(C=NN2C(=O)CSC2=S)cc(Cl)cc1[N+](=O)[O-]",,,"CPD000364737","SAM004283766","Enamine","Z49618626",331.7487,330.9488,331.7487,"C10H6ClN3O4S2","BF00010941","A07","DMSO",10.25,"mM",12,"uL","Soluble","28-Mar-14",16.76,"2014-03-29T07:00:00.0","LCELS_UPLC3"
"CC1(NC(=O)N(CC(=O)Nc2cccnc2Cl)C1=O)c3ccc(Cl)cc3",,,"CPD000714685","SAM004339321","Enamine","Z13588679",393.23,392.0442,393.23,"C17H14Cl2N4O3","BF00010941","B07","DMSO",10.17,"mM",12,"uL","Soluble","28-Mar-14",95.39,"2014-03-28T07:00:00.0","LCUV214_MUX2"
"C\C(=N\NC(=N)N)\c1ccc(Cl)c(Cl)c1.CC(=O)O","C2H4O2",1,"CPD003113270","SAM004283807","Enamine","Z49562636",245.1085,244.0282,305.1605,"C9H10Cl2N4","BF00010941","C07","DMSO",10.16,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCUV214_MUX2"
"CN(C)C(CNC(=O)c1ccc(cc1)S(=O)(=O)Nc2ccc(C)cc2)c3cccc(F)c3",,,"CPD003158899","SAM004339585","Enamine","Z69103649",455.5449,455.1678,455.5449,"C24H26FN3O3S","BF00010941","D07","DMSO",10.1,"mM",12,"uL","Soluble","28-Mar-14",96.52,"2014-03-28T07:00:00.0","LCELS_MUX2"
"CCNc1nc(NCC)nc(N\N=C(\C)/c2ccc(OC)cc2)n1",,,"CPD003118282","SAM004290976","Enamine","Z49878626",329.4001,329.1964,329.4001,"C16H23N7O","BF00010941","E07","DMSO",10.02,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCUV214_MUX2"
"[O-][N+](=O)c1cccc(c1)C(=O)NC2CCOc3ccccc23",,,"CPD002505925","SAM004340021","Enamine","Z54646746",298.2933,298.0953,298.2933,"C16H14N2O4","BF00010941","F07","DMSO",10.06,"mM",12,"uL","Soluble","28-Mar-14",98.87,"2014-03-28T07:00:00.0","LCUV214_MUX2"
"COC(=O)NNC(=S)NC(=O)C1(CC2CC3CC(C2)C1)C3",,,"CPD003118593","SAM004291482","Enamine","Z56879526",311.4003,311.1303,311.4003,"C14H21N3O3S","BF00010941","G07","DMSO",10.28,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCUV214_MUX2"
"N#Cc1cccnc1NCc2ccc(nc2)n3cccn3",,,"CPD001885698","SAM004339890","Enamine","Z229306278",276.2959,276.1123,276.2959,"C15H12N6","BF00010941","H07","DMSO",10.13,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCELS_MUX2"
"NS(=O)(=O)c1ccccc1C(=O)N\N=C(\CCC(=O)O)/C(=O)O",,,"CPD003118626","SAM004291530","Enamine","Z56889382",343.3125,343.0474,343.3125,"C12H13N3O7S","BF00010941","I07","DMSO",10.19,"mM",12,"uL","Soluble","28-Mar-14",0.0,"2014-03-29T07:00:00.0","LCUV214_UPLC3"
"CC(NC(=O)COC(=O)c1cc(Cl)ccc1O)c2ccccc2",,,"CPD000714003","SAM004340082","Enamine","Z18532481",333.7723,333.0767,333.7723,"C17H16ClNO4","BF00010941","J07","DMSO",10.19,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCELS_MUX2"
"Nc1cc(ccc1OC(F)F)[N+](=O)[O-]",,,"CPD003118690","SAM004291617","Enamine","Z56808943",204.1335,204.0346,204.1335,"C7H6F2N2O3","BF00010941","K07","DMSO",10.29,"mM",12,"uL","Soluble","28-Mar-14",78.47,"2014-03-29T07:00:00.0","LCUV214_UPLC3"
"CC(Nc1ccc(cn1)[N+](=O)[O-])C2CC3CCC2C3",,,"CPD003159520","SAM004340359","Enamine","Z86241290",261.3195,261.1477,261.3195,"C14H19N3O2","BF00010941","L07","DMSO",10.33,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCUV214_MUX2"
"COc1ccc(cc1)C(=O)/C=C/c2cn(CCC(=O)O)nc2c3ccc(Br)cc3",,,"CPD003118755","SAM004291715","Enamine","Z56893145",455.309,454.0528,455.309,"C22H19BrN2O4","BF00010941","M07","DMSO",10.1,"mM",12,"uL","Soluble","28-Mar-14",92.06,"2014-03-29T07:00:00.0","LCELS_UPLC3"
