cmpdBarcode	plateType	wellReference	corp_name	batch_number	cmpdConc	supplier
C1108712	Hitpick	D001	DNS000001352	2	8.5714	NA
C1108712	Hitpick	D002	DNS000001352	2	2.6786	NA
C1108712	Hitpick	D003	DNS000001352	2	0.83705	NA
C1108712	Hitpick	D004	DNS000001352	2	0.26158	NA
C1108712	Hitpick	D005	DNS000001352	2	0.081743	NA
C1108712	Hitpick	D006	DNS000001352	2	0.025545	NA
C1108712	Hitpick	D007	DNS000001352	2	0.0079827	NA
		D008		NA	NA	NA
C1108712	Hitpick	D009	DNS000000001	1	0	NA
C1108712	Hitpick	D010	DNS000000001	1	0	NA
C1108712	Hitpick	D011	DNS000000001	1	0	NA
C1108712	Hitpick	D012	DNS000000001	1	0	NA
C1108712	Hitpick	D013	DNS000000001	1	0	NA
C1108712	Hitpick	D014	DNS000000001	1	0	NA
		D015		NA	NA	NA
C1108712	Hitpick	D016	DNS000000001	1	0	NA
C1108712	Hitpick	D017	DNS000000001	1	0	NA
C1108712	Hitpick	D018	DNS000000001	1	0	NA
C1108712	Hitpick	D019	DNS000000001	1	0	NA
C1108712	Hitpick	D020	DNS000000001	1	0	NA
C1108712	Hitpick	D021	DNS000000001	1	0	NA
		D022		NA	NA	NA
C1108712	Hitpick	D023	DNS000000001	1	0	NA
C1108712	Hitpick	D024	DNS000000001	1	0	NA
C1108712	Hitpick	D025	DNS000000001	1	0	NA
C1108712	Hitpick	D026	DNS000000001	1	0	NA
C1108712	Hitpick	D027	DNS000000001	1	0	NA
C1108712	Hitpick	D028	DNS000000001	1	0	NA
		D029		NA	NA	NA
C1108712	Hitpick	D030	DNS000000001	1	0	NA
C1108712	Hitpick	D031	DNS000000001	1	0	NA
C1108712	Hitpick	D032	DNS000000001	1	0	NA
C1108712	Hitpick	D033	DNS000000001	1	0	NA
C1108712	Hitpick	D034	DNS000000001	1	0	NA
C1108712	Hitpick	D035	DNS000000001	1	0	NA
C1108712	Hitpick	D036	DNS000000001	1	0	NA
		D037		NA	NA	NA
C1108712	Hitpick	D038	DNS000000001	1	0	NA
C1108712	Hitpick	D039	DNS000000001	1	0	NA
C1108712	Hitpick	D040	DNS000000001	1	0	NA
C1108712	Hitpick	D041	DNS000000001	1	0	NA
C1108712	Hitpick	D042	DNS000000001	1	0	NA
C1108712	Hitpick	D043	DNS000000001	1	0	NA
C1108712	Hitpick	D044	DNS000000001	1	0	NA
C1104682	Standards	D045	DNS000000001	1	0	NA
C1104682	Standards	D046	DNS001133837	1	85.714	NA
C1104682	Standards	D047	DNS000000001	1	0	NA
C1104682	Standards	D048	DNS001133837	1	85.714	NA
C1108712	Hitpick	E001	DNS000003064	1	8.5714	NA
C1108712	Hitpick	E002	DNS000003064	1	2.6786	NA
C1108712	Hitpick	E003	DNS000003064	1	0.83705	NA
C1108712	Hitpick	E004	DNS000003064	1	0.26158	NA
C1108712	Hitpick	E005	DNS000003064	1	0.081743	NA
C1108712	Hitpick	E006	DNS000003064	1	0.025545	NA
C1108712	Hitpick	E007	DNS000003064	1	0.0079827	NA
		E008		NA	NA	NA
C1108712	Hitpick	E009	DNS000000001	1	0	NA
C1108712	Hitpick	E010	DNS000000001	1	0	NA
C1108712	Hitpick	E011	DNS000000001	1	0	NA
C1108712	Hitpick	E012	DNS000000001	1	0	NA
C1108712	Hitpick	E013	DNS000000001	1	0	NA
C1108712	Hitpick	E014	DNS000000001	1	0	NA
		E015		NA	NA	NA
C1108712	Hitpick	E016	DNS000000001	1	0	NA
C1108712	Hitpick	E017	DNS000000001	1	0	NA
C1108712	Hitpick	E018	DNS000000001	1	0	NA
C1108712	Hitpick	E019	DNS000000001	1	0	NA
C1108712	Hitpick	E020	DNS000000001	1	0	NA
C1108712	Hitpick	E021	DNS000000001	1	0	NA
		E022		NA	NA	NA
C1108712	Hitpick	E023	DNS000000001	1	0	NA
C1108712	Hitpick	E024	DNS000000001	1	0	NA
C1108712	Hitpick	E025	DNS000000001	1	0	NA
C1108712	Hitpick	E026	DNS000000001	1	0	NA
C1108712	Hitpick	E027	DNS000000001	1	0	NA
C1108712	Hitpick	E028	DNS000000001	1	0	NA
		E029		NA	NA	NA
C1108712	Hitpick	E030	DNS000000001	1	0	NA
C1108712	Hitpick	E031	DNS000000001	1	0	NA
C1108712	Hitpick	E032	DNS000000001	1	0	NA
C1108712	Hitpick	E033	DNS000000001	1	0	NA
C1108712	Hitpick	E034	DNS000000001	1	0	NA
C1108712	Hitpick	E035	DNS000000001	1	0	NA
C1108712	Hitpick	E036	DNS000000001	1	0	NA
		E037		NA	NA	NA
C1108712	Hitpick	E038	DNS000000001	1	0	NA
C1108712	Hitpick	E039	DNS000000001	1	0	NA
C1108712	Hitpick	E040	DNS000000001	1	0	NA
C1108712	Hitpick	E041	DNS000000001	1	0	NA
C1108712	Hitpick	E042	DNS000000001	1	0	NA
C1108712	Hitpick	E043	DNS000000001	1	0	NA
C1108712	Hitpick	E044	DNS000000001	1	0	NA
C1104682	Standards	E045	DNS001133837	1	85.714	NA
C1104682	Standards	E046	DNS000000001	1	0	NA
C1104682	Standards	E047	DNS001133837	1	85.714	NA
C1104682	Standards	E048	DNS000000001	1	0	NA
C1108712	Hitpick	F001	DNS000000228	2	8.5714	NA
C1108712	Hitpick	F002	DNS000000228	2	2.6786	NA
C1108712	Hitpick	F003	DNS000000228	2	0.83705	NA
C1108712	Hitpick	F004	DNS000000228	2	0.26158	NA
C1108712	Hitpick	F005	DNS000000228	2	0.081743	NA
C1108712	Hitpick	F006	DNS000000228	2	0.025545	NA
C1108712	Hitpick	F007	DNS000000228	2	0.0079827	NA
		F008		NA	NA	NA
C1108712	Hitpick	F009	DNS000000001	1	0	NA
C1108712	Hitpick	F010	DNS000000001	1	0	NA
C1108712	Hitpick	F011	DNS000000001	1	0	NA
C1108712	Hitpick	F012	DNS000000001	1	0	NA
C1108712	Hitpick	F013	DNS000000001	1	0	NA
C1108712	Hitpick	F014	DNS000000001	1	0	NA
		F015		NA	NA	NA
C1108712	Hitpick	F016	DNS000000001	1	0	NA
C1108712	Hitpick	F017	DNS000000001	1	0	NA
C1108712	Hitpick	F018	DNS000000001	1	0	NA
C1108712	Hitpick	F019	DNS000000001	1	0	NA
C1108712	Hitpick	F020	DNS000000001	1	0	NA
C1108712	Hitpick	F021	DNS000000001	1	0	NA
		F022		NA	NA	NA
C1108712	Hitpick	F023	DNS000000001	1	0	NA
C1108712	Hitpick	F024	DNS000000001	1	0	NA
C1108712	Hitpick	F025	DNS000000001	1	0	NA
C1108712	Hitpick	F026	DNS000000001	1	0	NA
C1108712	Hitpick	F027	DNS000000001	1	0	NA
C1108712	Hitpick	F028	DNS000000001	1	0	NA
		F029		NA	NA	NA
C1108712	Hitpick	F030	DNS000000001	1	0	NA
C1108712	Hitpick	F031	DNS000000001	1	0	NA
C1108712	Hitpick	F032	DNS000000001	1	0	NA
C1108712	Hitpick	F033	DNS000000001	1	0	NA
C1108712	Hitpick	F034	DNS000000001	1	0	NA
C1108712	Hitpick	F035	DNS000000001	1	0	NA
C1108712	Hitpick	F036	DNS000000001	1	0	NA
		F037		NA	NA	NA
C1108712	Hitpick	F038	DNS000000001	1	0	NA
C1108712	Hitpick	F039	DNS000000001	1	0	NA
C1108712	Hitpick	F040	DNS000000001	1	0	NA
C1108712	Hitpick	F041	DNS000000001	1	0	NA
C1108712	Hitpick	F042	DNS000000001	1	0	NA
C1108712	Hitpick	F043	DNS000000001	1	0	NA
C1108712	Hitpick	F044	DNS000000001	1	0	NA
C1104682	Standards	F045	DNS000000001	1	0	NA
C1104682	Standards	F046	DNS001133837	1	85.714	NA
C1104682	Standards	F047	DNS000000001	1	0	NA
C1104682	Standards	F048	DNS001133837	1	85.714	NA
C1108712	Hitpick	G001	DNS000001564	4	8.5714	NA
C1108712	Hitpick	G002	DNS000001564	4	2.6786	NA
C1108712	Hitpick	G003	DNS000001564	4	0.83705	NA
C1108712	Hitpick	G004	DNS000001564	4	0.26158	NA
C1108712	Hitpick	G005	DNS000001564	4	0.081743	NA
C1108712	Hitpick	G006	DNS000001564	4	0.025545	NA
C1108712	Hitpick	G007	DNS000001564	4	0.0079827	NA
		G008		NA	NA	NA
C1108712	Hitpick	G009	DNS000000001	1	0	NA
C1108712	Hitpick	G010	DNS000000001	1	0	NA
C1108712	Hitpick	G011	DNS000000001	1	0	NA
C1108712	Hitpick	G012	DNS000000001	1	0	NA
C1108712	Hitpick	G013	DNS000000001	1	0	NA
C1108712	Hitpick	G014	DNS000000001	1	0	NA
		G015		NA	NA	NA
C1108712	Hitpick	G016	DNS000000001	1	0	NA
C1108712	Hitpick	G017	DNS000000001	1	0	NA
C1108712	Hitpick	G018	DNS000000001	1	0	NA
C1108712	Hitpick	G019	DNS000000001	1	0	NA
C1108712	Hitpick	G020	DNS000000001	1	0	NA
C1108712	Hitpick	G021	DNS000000001	1	0	NA
		G022		NA	NA	NA
C1108712	Hitpick	G023	DNS000000001	1	0	NA
C1108712	Hitpick	G024	DNS000000001	1	0	NA
C1108712	Hitpick	G025	DNS000000001	1	0	NA
C1108712	Hitpick	G026	DNS000000001	1	0	NA
C1108712	Hitpick	G027	DNS000000001	1	0	NA
C1108712	Hitpick	G028	DNS000000001	1	0	NA
		G029		NA	NA	NA
C1108712	Hitpick	G030	DNS000000001	1	0	NA
C1108712	Hitpick	G031	DNS000000001	1	0	NA
C1108712	Hitpick	G032	DNS000000001	1	0	NA
C1108712	Hitpick	G033	DNS000000001	1	0	NA
C1108712	Hitpick	G034	DNS000000001	1	0	NA
C1108712	Hitpick	G035	DNS000000001	1	0	NA
C1108712	Hitpick	G036	DNS000000001	1	0	NA
		G037		NA	NA	NA
C1108712	Hitpick	G038	DNS000000001	1	0	NA
C1108712	Hitpick	G039	DNS000000001	1	0	NA
C1108712	Hitpick	G040	DNS000000001	1	0	NA
C1108712	Hitpick	G041	DNS000000001	1	0	NA
C1108712	Hitpick	G042	DNS000000001	1	0	NA
C1108712	Hitpick	G043	DNS000000001	1	0	NA
C1108712	Hitpick	G044	DNS000000001	1	0	NA
C1104682	Standards	G045	DNS001133837	1	85.714	NA
C1104682	Standards	G046	DNS000000001	1	0	NA
C1104682	Standards	G047	DNS001133837	1	85.714	NA
C1104682	Standards	G048	DNS000000001	1	0	NA
C1108712	Hitpick	H001	DNS000003266	1	8.5714	NA
C1108712	Hitpick	H002	DNS000003266	1	2.6786	NA
C1108712	Hitpick	H003	DNS000003266	1	0.83705	NA
C1108712	Hitpick	H004	DNS000003266	1	0.26158	NA
C1108712	Hitpick	H005	DNS000003266	1	0.081743	NA
C1108712	Hitpick	H006	DNS000003266	1	0.025545	NA
C1108712	Hitpick	H007	DNS000003266	1	0.0079827	NA
		H008		NA	NA	NA
C1108712	Hitpick	H009	DNS000000001	1	0	NA
C1108712	Hitpick	H010	DNS000000001	1	0	NA
C1108712	Hitpick	H011	DNS000000001	1	0	NA
C1108712	Hitpick	H012	DNS000000001	1	0	NA
C1108712	Hitpick	H013	DNS000000001	1	0	NA
C1108712	Hitpick	H014	DNS000000001	1	0	NA
		H015		NA	NA	NA
C1108712	Hitpick	H016	DNS000000001	1	0	NA
C1108712	Hitpick	H017	DNS000000001	1	0	NA
C1108712	Hitpick	H018	DNS000000001	1	0	NA
C1108712	Hitpick	H019	DNS000000001	1	0	NA
C1108712	Hitpick	H020	DNS000000001	1	0	NA
C1108712	Hitpick	H021	DNS000000001	1	0	NA
		H022		NA	NA	NA
C1108712	Hitpick	H023	DNS000000001	1	0	NA
C1108712	Hitpick	H024	DNS000000001	1	0	NA
C1108712	Hitpick	H025	DNS000000001	1	0	NA
C1108712	Hitpick	H026	DNS000000001	1	0	NA
C1108712	Hitpick	H027	DNS000000001	1	0	NA
C1108712	Hitpick	H028	DNS000000001	1	0	NA
		H029		NA	NA	NA
C1108712	Hitpick	H030	DNS000000001	1	0	NA
C1108712	Hitpick	H031	DNS000000001	1	0	NA
C1108712	Hitpick	H032	DNS000000001	1	0	NA
C1108712	Hitpick	H033	DNS000000001	1	0	NA
C1108712	Hitpick	H034	DNS000000001	1	0	NA
C1108712	Hitpick	H035	DNS000000001	1	0	NA
C1108712	Hitpick	H036	DNS000000001	1	0	NA
		H037		NA	NA	NA
C1108712	Hitpick	H038	DNS000000001	1	0	NA
C1108712	Hitpick	H039	DNS000000001	1	0	NA
C1108712	Hitpick	H040	DNS000000001	1	0	NA
C1108712	Hitpick	H041	DNS000000001	1	0	NA
C1108712	Hitpick	H042	DNS000000001	1	0	NA
C1108712	Hitpick	H043	DNS000000001	1	0	NA
C1108712	Hitpick	H044	DNS000000001	1	0	NA
C1104682	Standards	H045	DNS000000001	1	0	NA
C1104682	Standards	H046	DNS001133837	1	85.714	NA
C1104682	Standards	H047	DNS000000001	1	0	NA
C1104682	Standards	H048	DNS001133837	1	85.714	NA
C1108712	Hitpick	I001	DNS000003510	1	8.5714	NA
C1108712	Hitpick	I002	DNS000003510	1	2.6786	NA
C1108712	Hitpick	I003	DNS000003510	1	0.83705	NA
C1108712	Hitpick	I004	DNS000003510	1	0.26158	NA
C1108712	Hitpick	I005	DNS000003510	1	0.081743	NA
C1108712	Hitpick	I006	DNS000003510	1	0.025545	NA
C1108712	Hitpick	I007	DNS000003510	1	0.0079827	NA
		I008		NA	NA	NA
C1108712	Hitpick	I009	DNS000000001	1	0	NA
C1108712	Hitpick	I010	DNS000000001	1	0	NA
C1108712	Hitpick	I011	DNS000000001	1	0	NA
C1108712	Hitpick	I012	DNS000000001	1	0	NA
C1108712	Hitpick	I013	DNS000000001	1	0	NA
C1108712	Hitpick	I014	DNS000000001	1	0	NA
		I015		NA	NA	NA
C1108712	Hitpick	I016	DNS000000001	1	0	NA
C1108712	Hitpick	I017	DNS000000001	1	0	NA
C1108712	Hitpick	I018	DNS000000001	1	0	NA
C1108712	Hitpick	I019	DNS000000001	1	0	NA
C1108712	Hitpick	I020	DNS000000001	1	0	NA
C1108712	Hitpick	I021	DNS000000001	1	0	NA
		I022		NA	NA	NA
C1108712	Hitpick	I023	DNS000000001	1	0	NA
C1108712	Hitpick	I024	DNS000000001	1	0	NA
C1108712	Hitpick	I025	DNS000000001	1	0	NA
C1108712	Hitpick	I026	DNS000000001	1	0	NA
C1108712	Hitpick	I027	DNS000000001	1	0	NA
C1108712	Hitpick	I028	DNS000000001	1	0	NA
		I029		NA	NA	NA
C1108712	Hitpick	I030	DNS000000001	1	0	NA
C1108712	Hitpick	I031	DNS000000001	1	0	NA
C1108712	Hitpick	I032	DNS000000001	1	0	NA
C1108712	Hitpick	I033	DNS000000001	1	0	NA
C1108712	Hitpick	I034	DNS000000001	1	0	NA
C1108712	Hitpick	I035	DNS000000001	1	0	NA
C1108712	Hitpick	I036	DNS000000001	1	0	NA
		I037		NA	NA	NA
C1108712	Hitpick	I038	DNS000000001	1	0	NA
C1108712	Hitpick	I039	DNS000000001	1	0	NA
C1108712	Hitpick	I040	DNS000000001	1	0	NA
C1108712	Hitpick	I041	DNS000000001	1	0	NA
C1108712	Hitpick	I042	DNS000000001	1	0	NA
C1108712	Hitpick	I043	DNS000000001	1	0	NA
C1108712	Hitpick	I044	DNS000000001	1	0	NA
C1104682	Standards	I045	DNS001133837	1	85.714	NA
C1104682	Standards	I046	DNS000000001	1	0	NA
C1104682	Standards	I047	DNS001133837	1	85.714	NA
C1104682	Standards	I048	DNS000000001	1	0	NA
