Source Barcode,Source Well,Destination Barcode,Destination Plate Size,Destination Well,Amount Transferred,Amount Units,Final Concentration,Concentration Units,Final Volume,Final Volume Units,Liquid Type,Date Time,Protocol,Is New Plate,Possible Transfer Error
BF00007315,C17,AP00000004,384,C17,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,C18,AP00000004,384,C18,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,C19,AP00000004,384,C19,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,C20,AP00000004,384,C20,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,C21,AP00000004,384,C21,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,C22,AP00000004,384,C22,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,C23,AP00000004,384,C23,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,C24,AP00000004,384,C24,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,D1,AP00000004,384,D1,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,D2,AP00000004,384,D2,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,D3,AP00000004,384,D3,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,D4,AP00000004,384,D4,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,D5,AP00000004,384,D5,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,D6,AP00000004,384,D6,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,D7,AP00000004,384,D7,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,D8,AP00000004,384,D8,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,D9,AP00000004,384,D9,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,D10,AP00000004,384,D10,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,D11,AP00000004,384,D11,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,D12,AP00000004,384,D12,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,D13,AP00000004,384,D13,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,D14,AP00000004,384,D14,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,D15,AP00000004,384,D15,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,D16,AP00000004,384,D16,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,D17,AP00000004,384,D17,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,D18,AP00000004,384,D18,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,D19,AP00000004,384,D19,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,D20,AP00000004,384,D20,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,D21,AP00000004,384,D21,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,D22,AP00000004,384,D22,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,D23,AP00000004,384,D23,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,D24,AP00000004,384,D24,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,E1,AP00000004,384,E1,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,E2,AP00000004,384,E2,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,E3,AP00000004,384,E3,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,E4,AP00000004,384,E4,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,E5,AP00000004,384,E5,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,E6,AP00000004,384,E6,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,E7,AP00000004,384,E7,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,E8,AP00000004,384,E8,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,E9,AP00000004,384,E9,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,E10,AP00000004,384,E10,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,E11,AP00000004,384,E11,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,E12,AP00000004,384,E12,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,E13,AP00000004,384,E13,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,E14,AP00000004,384,E14,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,E15,AP00000004,384,E15,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,E16,AP00000004,384,E16,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,E17,AP00000004,384,E17,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,E18,AP00000004,384,E18,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,E19,AP00000004,384,E19,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,E20,AP00000004,384,E20,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,E21,AP00000004,384,E21,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,E22,AP00000004,384,E22,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,E23,AP00000004,384,E23,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,E24,AP00000004,384,E24,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,F1,AP00000004,384,F1,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,F2,AP00000004,384,F2,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,F3,AP00000004,384,F3,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,F4,AP00000004,384,F4,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,F5,AP00000004,384,F5,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,F6,AP00000004,384,F6,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,F7,AP00000004,384,F7,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,F8,AP00000004,384,F8,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,F9,AP00000004,384,F9,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,F10,AP00000004,384,F10,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,F11,AP00000004,384,F11,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,F12,AP00000004,384,F12,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,F13,AP00000004,384,F13,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,F14,AP00000004,384,F14,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,F15,AP00000004,384,F15,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,F16,AP00000004,384,F16,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,F17,AP00000004,384,F17,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,F18,AP00000004,384,F18,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,F19,AP00000004,384,F19,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,F20,AP00000004,384,F20,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,F21,AP00000004,384,F21,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,F22,AP00000004,384,F22,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,F23,AP00000004,384,F23,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,F24,AP00000004,384,F24,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,G1,AP00000004,384,G1,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,G2,AP00000004,384,G2,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,G3,AP00000004,384,G3,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,G4,AP00000004,384,G4,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,G5,AP00000004,384,G5,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,G6,AP00000004,384,G6,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,G7,AP00000004,384,G7,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,G8,AP00000004,384,G8,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,G9,AP00000004,384,G9,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,G10,AP00000004,384,G10,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,G11,AP00000004,384,G11,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,G12,AP00000004,384,G12,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,G13,AP00000004,384,G13,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,G14,AP00000004,384,G14,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,G15,AP00000004,384,G15,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,G16,AP00000004,384,G16,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,G17,AP00000004,384,G17,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,G18,AP00000004,384,G18,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,G19,AP00000004,384,G19,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,G20,AP00000004,384,G20,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,G21,AP00000004,384,G21,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,G22,AP00000004,384,G22,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,G23,AP00000004,384,G23,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,G24,AP00000004,384,G24,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,H1,AP00000004,384,H1,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,H2,AP00000004,384,H2,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,H3,AP00000004,384,H3,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,H4,AP00000004,384,H4,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,H5,AP00000004,384,H5,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,H6,AP00000004,384,H6,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,H7,AP00000004,384,H7,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,H8,AP00000004,384,H8,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,H9,AP00000004,384,H9,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,H10,AP00000004,384,H10,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,H11,AP00000004,384,H11,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,H12,AP00000004,384,H12,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,H13,AP00000004,384,H13,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
