BARCODE,WELL_NAME,BATCH_CODE,VOLUME,VOLUME_STRING,CONCENTRATION,CONCENTRATION_STRING,CONCENTRATION_UNIT,ID,WELL_ID,VOLUME_UNIT
TEST0001,C02,DMSO,40,NA,NA,infinite,uM,50,50,uL
TEST0001,C03,CMPD-0102026-1,40,NA,100.3843241,NA,uM,51,51,uL
TEST0001,C04,CMPD-0102026-1,40,NA,100.0253349,NA,uM,52,52,uL
TEST0001,C05,CMPD-0102026-1,40,NA,100.9007627,NA,uM,53,53,uL
TEST0001,C06,CMPD-0102026-1,40,NA,100.6351197,NA,uM,54,54,uL
TEST0001,C07,CMPD-0056339-1,40,NA,100.2699933,NA,uM,55,55,uL
TEST0001,C08,CMPD-0056339-1,40,NA,100.7282536,NA,uM,56,56,uL
TEST0001,C09,CMPD-0056339-1,40,NA,100.4278466,NA,uM,57,57,uL
TEST0001,C10,CMPD-0056339-1,40,NA,100.2331376,NA,uM,58,58,uL
TEST0001,C11,CMPD-0068899-1,40,NA,100.1464756,NA,uM,59,59,uL
TEST0001,C12,CMPD-0068899-1,40,NA,100.7742639,NA,uM,60,60,uL
TEST0001,C13,CMPD-0068899-1,40,NA,100.6816657,NA,uM,61,61,uL
TEST0001,C14,CMPD-0068899-1,40,NA,100.9165961,NA,uM,62,62,uL
TEST0001,C15,CMPD-0032577-1,40,NA,100.8429713,NA,uM,63,63,uL
TEST0001,C16,CMPD-0032577-1,40,NA,100.6983342,NA,uM,64,64,uL
TEST0001,C17,CMPD-0032577-1,40,NA,100.2989624,NA,uM,65,65,uL
TEST0001,C18,CMPD-0032577-1,40,NA,100.1456951,NA,uM,66,66,uL
TEST0001,C19,CMPD-0003021-1,40,NA,100.2752734,NA,uM,67,67,uL
TEST0001,C20,CMPD-0003021-1,40,NA,100.2708169,NA,uM,68,68,uL
TEST0001,C21,CMPD-0003021-1,40,NA,100.9292454,NA,uM,69,69,uL
TEST0001,C22,CMPD-0003021-1,40,NA,100.3219107,NA,uM,70,70,uL
TEST0001,C23,PBS,40,NA,5,NA,uM,71,71,uL
TEST0001,C24,RD36882,40,NA,2,NA,uM,72,72,uL
TEST0001,D01,DMSO,40,NA,NA,infinite,uM,73,73,uL
TEST0001,D02,DMSO,40,NA,NA,infinite,uM,74,74,uL
TEST0001,D03,CMPD-0085741-1,40,NA,100.7094663,NA,uM,75,75,uL
TEST0001,D04,CMPD-0085741-1,40,NA,100.1262797,NA,uM,76,76,uL
TEST0001,D05,CMPD-0085741-1,40,NA,100.2360105,NA,uM,77,77,uL
TEST0001,D06,CMPD-0085741-1,40,NA,100.8932824,NA,uM,78,78,uL
TEST0001,D07,CMPD-0094682-1,40,NA,100.0237562,NA,uM,79,79,uL
TEST0001,D08,CMPD-0094682-1,40,NA,100.9569649,NA,uM,80,80,uL
TEST0001,D09,CMPD-0094682-1,40,NA,100.702045,NA,uM,81,81,uL
TEST0001,D10,CMPD-0094682-1,40,NA,100.9820184,NA,uM,82,82,uL
TEST0001,D11,CMPD-0117643-1,40,NA,100.2143999,NA,uM,83,83,uL
TEST0001,D12,CMPD-0117643-1,40,NA,100.4274626,NA,uM,84,84,uL
TEST0001,D13,CMPD-0117643-1,40,NA,100.2906089,NA,uM,85,85,uL
TEST0001,D14,CMPD-0117643-1,40,NA,100.7875641,NA,uM,86,86,uL
TEST0001,D15,CMPD-0002845-1,40,NA,100.973232,NA,uM,87,87,uL
TEST0001,D16,CMPD-0002845-1,40,NA,100.3132231,NA,uM,88,88,uL
TEST0001,D17,CMPD-0002845-1,40,NA,100.9758432,NA,uM,89,89,uL
TEST0001,D18,CMPD-0002845-1,40,NA,100.8461289,NA,uM,90,90,uL
TEST0001,D19,CMPD-0134728-1,40,NA,100.1986255,NA,uM,91,91,uL
TEST0001,D20,CMPD-0134728-1,40,NA,100.352172,NA,uM,92,92,uL
TEST0001,D21,CMPD-0134728-1,40,NA,100.2670441,NA,uM,93,93,uL
TEST0001,D22,CMPD-0134728-1,40,NA,100.8620049,NA,uM,94,94,uL
TEST0001,D23,PBS,40,NA,5,NA,uM,95,95,uL
TEST0001,D24,RD36882,40,NA,2,NA,uM,96,96,uL
TEST0001,E01,DMSO,40,NA,NA,infinite,uM,97,97,uL
TEST0001,E02,DMSO,40,NA,NA,infinite,uM,98,98,uL
TEST0001,E03,CMPD-0070251-1,40,NA,100.7760216,NA,uM,99,99,uL
TEST0001,E04,CMPD-0070251-1,40,NA,100.0199233,NA,uM,100,100,uL
TEST0001,E05,CMPD-0070251-1,40,NA,100.9369066,NA,uM,101,101,uL
TEST0001,E06,CMPD-0070251-1,40,NA,100.3781095,NA,uM,102,102,uL
TEST0001,E07,CMPD-0109086-1,40,NA,100.4450225,NA,uM,103,103,uL
TEST0001,E08,CMPD-0109086-1,40,NA,100.6390864,NA,uM,104,104,uL
TEST0001,E09,CMPD-0109086-1,40,NA,100.2136592,NA,uM,105,105,uL
TEST0001,E10,CMPD-0109086-1,40,NA,100.4071976,NA,uM,106,106,uL
TEST0001,E11,CMPD-0120573-1,40,NA,100.7868969,NA,uM,107,107,uL
TEST0001,E12,CMPD-0120573-1,40,NA,100.6351838,NA,uM,108,108,uL
TEST0001,E13,CMPD-0120573-1,40,NA,100.8196392,NA,uM,109,109,uL
TEST0001,E14,CMPD-0120573-1,40,NA,100.9862049,NA,uM,110,110,uL
TEST0001,E15,CMPD-0045823-1,40,NA,100.8417873,NA,uM,111,111,uL
TEST0001,E16,CMPD-0045823-1,40,NA,100.4174384,NA,uM,112,112,uL
TEST0001,E17,CMPD-0045823-1,40,NA,100.3462262,NA,uM,113,113,uL
TEST0001,E18,CMPD-0045823-1,40,NA,100.767176,NA,uM,114,114,uL
TEST0001,E19,CMPD-0132074-1,40,NA,100.8262393,NA,uM,115,115,uL
TEST0001,E20,CMPD-0132074-1,40,NA,100.5939533,NA,uM,116,116,uL
TEST0001,E21,CMPD-0132074-1,40,NA,100.1486165,NA,uM,117,117,uL
TEST0001,E22,CMPD-0132074-1,40,NA,100.455265,NA,uM,118,118,uL
TEST0001,E23,PBS,40,NA,5,NA,uM,119,119,uL
TEST0001,E24,RD36882,40,NA,2,NA,uM,120,120,uL
TEST0001,F01,DMSO,40,NA,NA,infinite,uM,121,121,uL
TEST0001,F02,DMSO,40,NA,NA,infinite,uM,122,122,uL
TEST0001,F03,CMPD-0076440-1,40,NA,100.8832771,NA,uM,123,123,uL
TEST0001,F04,CMPD-0076440-1,40,NA,100.2419129,NA,uM,124,124,uL
TEST0001,F05,CMPD-0076440-1,40,NA,100.4603155,NA,uM,125,125,uL
TEST0001,F06,CMPD-0076440-1,40,NA,100.3818105,NA,uM,126,126,uL
TEST0001,F07,CMPD-0068582-1,40,NA,100.1475391,NA,uM,127,127,uL
TEST0001,F08,CMPD-0068582-1,40,NA,100.8415206,NA,uM,128,128,uL
TEST0001,F09,CMPD-0068582-1,40,NA,100.4889405,NA,uM,129,129,uL
TEST0001,F10,CMPD-0068582-1,40,NA,100.4605892,NA,uM,130,130,uL
TEST0001,F11,CMPD-0075905-1,40,NA,100.494011,NA,uM,131,131,uL
TEST0001,F12,CMPD-0075905-1,40,NA,100.5910013,NA,uM,132,132,uL
TEST0001,F13,CMPD-0075905-1,40,NA,100.4384256,NA,uM,133,133,uL
TEST0001,F14,CMPD-0075905-1,40,NA,100.0144288,NA,uM,134,134,uL
TEST0001,F15,CMPD-0067657-1,40,NA,100.9153815,NA,uM,135,135,uL
TEST0001,F16,CMPD-0067657-1,40,NA,100.5719907,NA,uM,136,136,uL
TEST0001,F17,CMPD-0067657-1,40,NA,100.4102782,NA,uM,137,137,uL
TEST0001,F18,CMPD-0067657-1,40,NA,100.5404891,NA,uM,138,138,uL
TEST0001,F19,CMPD-0141923-1,40,NA,100.9621451,NA,uM,139,139,uL
TEST0001,F20,CMPD-0141923-1,40,NA,100.0480269,NA,uM,140,140,uL
TEST0001,F21,CMPD-0141923-1,40,NA,100.5191297,NA,uM,141,141,uL
TEST0001,F22,CMPD-0141923-1,40,NA,100.0970981,NA,uM,142,142,uL
TEST0001,F23,PBS,40,NA,5,NA,uM,143,143,uL
TEST0001,F24,RD36882,40,NA,2,NA,uM,144,144,uL
TEST0001,G01,DMSO,40,NA,NA,infinite,uM,145,145,uL
TEST0001,G02,DMSO,40,NA,NA,infinite,uM,146,146,uL
TEST0001,G03,CMPD-0051259-1,40,NA,100.3042104,NA,uM,147,147,uL
TEST0001,G04,CMPD-0051259-1,40,NA,100.4320806,NA,uM,148,148,uL
TEST0001,G05,CMPD-0051259-1,40,NA,100.2738635,NA,uM,149,149,uL
TEST0001,G06,CMPD-0051259-1,40,NA,100.5688323,NA,uM,150,150,uL
TEST0001,G07,CMPD-0107007-1,40,NA,100.9693776,NA,uM,151,151,uL
TEST0001,G08,CMPD-0107007-1,40,NA,100.7002978,NA,uM,152,152,uL
TEST0001,G09,CMPD-0107007-1,40,NA,100.7153766,NA,uM,153,153,uL
TEST0001,G10,CMPD-0107007-1,40,NA,100.2840495,NA,uM,154,154,uL
TEST0001,G11,CMPD-0069517-1,40,NA,100.4642948,NA,uM,155,155,uL
TEST0001,G12,CMPD-0069517-1,40,NA,100.7631942,NA,uM,156,156,uL
TEST0001,G13,CMPD-0069517-1,40,NA,100.1688371,NA,uM,157,157,uL
TEST0001,G14,CMPD-0069517-1,40,NA,100.3774724,NA,uM,158,158,uL
TEST0001,G15,CMPD-0018134-1,40,NA,100.5426704,NA,uM,159,159,uL
TEST0001,G16,CMPD-0018134-1,40,NA,100.5121833,NA,uM,160,160,uL
TEST0001,G17,CMPD-0018134-1,40,NA,100.0070347,NA,uM,161,161,uL
TEST0001,G18,CMPD-0018134-1,40,NA,100.971984,NA,uM,162,162,uL
TEST0001,G19,CMPD-0062227-1,40,NA,100.588746,NA,uM,163,163,uL
TEST0001,G20,CMPD-0062227-1,40,NA,100.7061106,NA,uM,164,164,uL
TEST0001,G21,CMPD-0062227-1,40,NA,100.3096135,NA,uM,165,165,uL
TEST0001,G22,CMPD-0062227-1,40,NA,100.7009936,NA,uM,166,166,uL
TEST0001,G23,PBS,40,NA,5,NA,uM,167,167,uL
TEST0001,G24,RD36882,40,NA,2,NA,uM,168,168,uL
TEST0001,H01,DMSO,40,NA,NA,infinite,uM,169,169,uL
TEST0001,H02,DMSO,40,NA,NA,infinite,uM,170,170,uL
TEST0001,H03,CMPD-0100316-1,40,NA,100.7825899,NA,uM,171,171,uL
TEST0001,H04,CMPD-0100316-1,40,NA,100.5319398,NA,uM,172,172,uL
TEST0001,H05,CMPD-0100316-1,40,NA,100.1809199,NA,uM,173,173,uL
TEST0001,H06,CMPD-0100316-1,40,NA,100.8588939,NA,uM,174,174,uL
TEST0001,H07,CMPD-0085461-1,40,NA,100.8219715,NA,uM,175,175,uL
TEST0001,H08,CMPD-0085461-1,40,NA,100.0370938,NA,uM,176,176,uL
TEST0001,H09,CMPD-0085461-1,40,NA,100.3843868,NA,uM,177,177,uL
TEST0001,H10,CMPD-0085461-1,40,NA,100.8653822,NA,uM,178,178,uL
TEST0001,H11,CMPD-0131846-1,40,NA,100.6959367,NA,uM,179,179,uL
TEST0001,H12,CMPD-0131846-1,40,NA,100.016624,NA,uM,180,180,uL
TEST0001,H13,CMPD-0131846-1,40,NA,100.8435592,NA,uM,181,181,uL
TEST0001,H14,CMPD-0131846-1,40,NA,100.8667891,NA,uM,182,182,uL
TEST0001,H15,CMPD-0137643-1,40,NA,100.0255786,NA,uM,183,183,uL
TEST0001,H16,CMPD-0137643-1,40,NA,100.0663191,NA,uM,184,184,uL
TEST0001,H17,CMPD-0137643-1,40,NA,100.3090965,NA,uM,185,185,uL
TEST0001,H18,CMPD-0137643-1,40,NA,100.7669112,NA,uM,186,186,uL
TEST0001,H19,CMPD-0089238-1,40,NA,100.8503582,NA,uM,187,187,uL
TEST0001,H20,CMPD-0089238-1,40,NA,100.3232387,NA,uM,188,188,uL
TEST0001,H21,CMPD-0089238-1,40,NA,100.0605207,NA,uM,189,189,uL
TEST0001,H22,CMPD-0089238-1,40,NA,100.3643016,NA,uM,190,190,uL
TEST0001,H23,PBS,40,NA,5,NA,uM,191,191,uL
TEST0001,H24,RD36882,40,NA,2,NA,uM,192,192,uL
TEST0001,I01,DMSO,40,NA,NA,infinite,uM,193,193,uL
TEST0001,I02,DMSO,40,NA,NA,infinite,uM,194,194,uL
TEST0001,I03,CMPD-0040331-1,40,NA,100.3704621,NA,uM,195,195,uL
TEST0001,I04,CMPD-0040331-1,40,NA,100.5788086,NA,uM,196,196,uL
TEST0001,I05,CMPD-0040331-1,40,NA,100.6790648,NA,uM,197,197,uL
TEST0001,I06,CMPD-0040331-1,40,NA,100.5919985,NA,uM,198,198,uL
TEST0001,I07,CMPD-0135253-1,40,NA,100.7035676,NA,uM,199,199,uL
TEST0001,I08,CMPD-0135253-1,40,NA,100.5434416,NA,uM,200,200,uL
TEST0001,I09,CMPD-0135253-1,40,NA,100.1773196,NA,uM,201,201,uL
TEST0001,I10,CMPD-0135253-1,40,NA,100.0547526,NA,uM,202,202,uL
TEST0001,I11,CMPD-0111133-1,40,NA,100.9035873,NA,uM,203,203,uL
TEST0001,I12,CMPD-0111133-1,40,NA,100.565721,NA,uM,204,204,uL
TEST0001,I13,CMPD-0111133-1,40,NA,100.5898758,NA,uM,205,205,uL
TEST0001,I14,CMPD-0111133-1,40,NA,100.8158378,NA,uM,206,206,uL
TEST0001,I15,CMPD-0113844-1,40,NA,100.3380041,NA,uM,207,207,uL
TEST0001,I16,CMPD-0113844-1,40,NA,100.9029366,NA,uM,208,208,uL
TEST0001,I17,CMPD-0113844-1,40,NA,100.3053409,NA,uM,209,209,uL
TEST0001,I18,CMPD-0113844-1,40,NA,100.1112618,NA,uM,210,210,uL
TEST0001,I19,CMPD-0067296-1,40,NA,100.2309687,NA,uM,211,211,uL
TEST0001,I20,CMPD-0067296-1,40,NA,100.8675808,NA,uM,212,212,uL
TEST0001,I21,CMPD-0067296-1,40,NA,100.2324707,NA,uM,213,213,uL
TEST0001,I22,CMPD-0067296-1,40,NA,100.8608612,NA,uM,214,214,uL
TEST0001,I23,PBS,40,NA,5,NA,uM,215,215,uL
TEST0001,I24,RD36882,40,NA,2,NA,uM,216,216,uL
TEST0001,J01,DMSO,40,NA,NA,infinite,uM,217,217,uL
TEST0001,J02,DMSO,40,NA,NA,infinite,uM,218,218,uL
TEST0001,J03,CMPD-0054128-1,40,NA,100.8553683,NA,uM,219,219,uL
TEST0001,J04,CMPD-0054128-1,40,NA,100.8984434,NA,uM,220,220,uL
TEST0001,J05,CMPD-0054128-1,40,NA,100.4440558,NA,uM,221,221,uL
TEST0001,J06,CMPD-0054128-1,40,NA,100.5385428,NA,uM,222,222,uL
TEST0001,J07,CMPD-0137044-1,40,NA,100.5384703,NA,uM,223,223,uL
TEST0001,J08,CMPD-0137044-1,40,NA,100.1804986,NA,uM,224,224,uL
TEST0001,J09,CMPD-0137044-1,40,NA,100.0717572,NA,uM,225,225,uL
TEST0001,J10,CMPD-0137044-1,40,NA,100.3783721,NA,uM,226,226,uL
TEST0001,J11,CMPD-0080261-1,40,NA,100.6056903,NA,uM,227,227,uL
TEST0001,J12,CMPD-0080261-1,40,NA,100.2660208,NA,uM,228,228,uL
TEST0001,J13,CMPD-0080261-1,40,NA,100.5631221,NA,uM,229,229,uL
TEST0001,J14,CMPD-0080261-1,40,NA,100.1341815,NA,uM,230,230,uL
TEST0001,J15,CMPD-0081766-1,40,NA,100.0771968,NA,uM,231,231,uL
TEST0001,J16,CMPD-0081766-1,40,NA,100.5320963,NA,uM,232,232,uL
TEST0001,J17,CMPD-0081766-1,40,NA,100.0515646,NA,uM,233,233,uL
TEST0001,J18,CMPD-0081766-1,40,NA,100.6204151,NA,uM,234,234,uL
TEST0001,J19,CMPD-0133793-1,40,NA,100.4857488,NA,uM,235,235,uL
TEST0001,J20,CMPD-0133793-1,40,NA,100.5491042,NA,uM,236,236,uL
TEST0001,J21,CMPD-0133793-1,40,NA,100.4054018,NA,uM,237,237,uL
TEST0001,J22,CMPD-0133793-1,40,NA,100.8562738,NA,uM,238,238,uL
TEST0001,J23,PBS,40,NA,5,NA,uM,239,239,uL
TEST0001,J24,RD36882,40,NA,2,NA,uM,240,240,uL
TEST0001,K01,DMSO,40,NA,NA,infinite,uM,241,241,uL
TEST0001,K02,DMSO,40,NA,NA,infinite,uM,242,242,uL
TEST0001,K03,CMPD-0144002-1,40,NA,100.001226,NA,uM,243,243,uL
TEST0001,K04,CMPD-0144002-1,40,NA,100.6849563,NA,uM,244,244,uL
TEST0001,K05,CMPD-0144002-1,40,NA,100.9664556,NA,uM,245,245,uL
TEST0001,K06,CMPD-0144002-1,40,NA,100.7521595,NA,uM,246,246,uL
TEST0001,K07,CMPD-0087492-1,40,NA,100.8633477,NA,uM,247,247,uL
TEST0001,K08,CMPD-0087492-1,40,NA,100.7312769,NA,uM,248,248,uL
TEST0001,K09,CMPD-0087492-1,40,NA,100.9961857,NA,uM,249,249,uL
TEST0001,K10,CMPD-0087492-1,40,NA,100.6377158,NA,uM,250,250,uL
TEST0001,K11,CMPD-0122412-1,40,NA,100.4766332,NA,uM,251,251,uL
TEST0001,K12,CMPD-0122412-1,40,NA,100.9010752,NA,uM,252,252,uL
TEST0001,K13,CMPD-0122412-1,40,NA,100.1113158,NA,uM,253,253,uL
TEST0001,K14,CMPD-0122412-1,40,NA,100.1892724,NA,uM,254,254,uL
TEST0001,K15,CMPD-0007117-1,40,NA,100.4327588,NA,uM,255,255,uL
TEST0001,K16,CMPD-0007117-1,40,NA,100.9553157,NA,uM,256,256,uL
TEST0001,K17,CMPD-0007117-1,40,NA,100.3939624,NA,uM,257,257,uL
TEST0001,K18,CMPD-0007117-1,40,NA,100.32749,NA,uM,258,258,uL
TEST0001,K19,CMPD-0027028-1,40,NA,100.1445709,NA,uM,259,259,uL
TEST0001,K20,CMPD-0027028-1,40,NA,100.2629262,NA,uM,260,260,uL
TEST0001,K21,CMPD-0027028-1,40,NA,100.7182076,NA,uM,261,261,uL
TEST0001,K22,CMPD-0027028-1,40,NA,100.7438672,NA,uM,262,262,uL
TEST0001,K23,PBS,40,NA,5,NA,uM,263,263,uL
TEST0001,K24,RD36882,40,NA,2,NA,uM,264,264,uL
TEST0001,L01,DMSO,40,NA,NA,infinite,uM,265,265,uL
TEST0001,L02,DMSO,40,NA,NA,infinite,uM,266,266,uL
TEST0001,L03,CMPD-0133261-1,40,NA,100.4384455,NA,uM,267,267,uL
TEST0001,L04,CMPD-0133261-1,40,NA,100.3117837,NA,uM,268,268,uL
TEST0001,L05,CMPD-0133261-1,40,NA,100.116759,NA,uM,269,269,uL
TEST0001,L06,CMPD-0133261-1,40,NA,100.4317746,NA,uM,270,270,uL
TEST0001,L07,CMPD-0040356-1,40,NA,100.1867061,NA,uM,271,271,uL
TEST0001,L08,CMPD-0040356-1,40,NA,100.475421,NA,uM,272,272,uL
TEST0001,L09,CMPD-0040356-1,40,NA,100.5413639,NA,uM,273,273,uL
TEST0001,L10,CMPD-0040356-1,40,NA,100.6542548,NA,uM,274,274,uL
TEST0001,L11,CMPD-0022505-1,40,NA,100.3519329,NA,uM,275,275,uL
TEST0001,L12,CMPD-0022505-1,40,NA,100.2599539,NA,uM,276,276,uL
TEST0001,L13,CMPD-0022505-1,40,NA,100.9967056,NA,uM,277,277,uL
TEST0001,L14,CMPD-0022505-1,40,NA,100.3793256,NA,uM,278,278,uL
TEST0001,L15,CMPD-0049252-1,40,NA,100.4224584,NA,uM,279,279,uL
TEST0001,L16,CMPD-0049252-1,40,NA,100.7321246,NA,uM,280,280,uL
TEST0001,L17,CMPD-0049252-1,40,NA,100.7620695,NA,uM,281,281,uL
TEST0001,L18,CMPD-0049252-1,40,NA,100.3118421,NA,uM,282,282,uL
TEST0001,L19,CMPD-0002613-1,40,NA,100.5274205,NA,uM,283,283,uL
TEST0001,L20,CMPD-0002613-1,40,NA,100.8989197,NA,uM,284,284,uL
TEST0001,L21,CMPD-0002613-1,40,NA,100.1362919,NA,uM,285,285,uL
TEST0001,L22,CMPD-0002613-1,40,NA,100.5985458,NA,uM,286,286,uL
TEST0001,L23,PBS,40,NA,5,NA,uM,287,287,uL
TEST0001,L24,RD36882,40,NA,2,NA,uM,288,288,uL
TEST0001,M01,DMSO,40,NA,NA,infinite,uM,289,289,uL
TEST0001,M02,DMSO,40,NA,NA,infinite,uM,290,290,uL
TEST0001,M03,CMPD-0091599-1,40,NA,100.5855977,NA,uM,291,291,uL
TEST0001,M04,CMPD-0091599-1,40,NA,100.0287661,NA,uM,292,292,uL
TEST0001,M05,CMPD-0091599-1,40,NA,100.6333616,NA,uM,293,293,uL
TEST0001,M06,CMPD-0091599-1,40,NA,100.4715942,NA,uM,294,294,uL
TEST0001,M07,CMPD-0007943-1,40,NA,100.2509078,NA,uM,295,295,uL
TEST0001,M08,CMPD-0007943-1,40,NA,100.7925277,NA,uM,296,296,uL
TEST0001,M09,CMPD-0007943-1,40,NA,100.5938235,NA,uM,297,297,uL
TEST0001,M10,CMPD-0007943-1,40,NA,100.6476024,NA,uM,298,298,uL
TEST0001,M11,CMPD-0021836-1,40,NA,100.5680943,NA,uM,299,299,uL
TEST0001,M12,CMPD-0021836-1,40,NA,100.5738554,NA,uM,300,300,uL
TEST0001,M13,CMPD-0021836-1,40,NA,100.0846495,NA,uM,301,301,uL
TEST0001,M14,CMPD-0021836-1,40,NA,100.7753187,NA,uM,302,302,uL
TEST0001,M15,CMPD-0072410-1,40,NA,100.4812747,NA,uM,303,303,uL
TEST0001,M16,CMPD-0072410-1,40,NA,100.9615495,NA,uM,304,304,uL
TEST0001,M17,CMPD-0072410-1,40,NA,100.3266884,NA,uM,305,305,uL
TEST0001,M18,CMPD-0072410-1,40,NA,100.8510199,NA,uM,306,306,uL
TEST0001,M19,CMPD-0070230-1,40,NA,100.6495919,NA,uM,307,307,uL
TEST0001,M20,CMPD-0070230-1,40,NA,100.4142504,NA,uM,308,308,uL
TEST0001,M21,CMPD-0070230-1,40,NA,100.9347004,NA,uM,309,309,uL
TEST0001,M22,CMPD-0070230-1,40,NA,100.0664359,NA,uM,310,310,uL
TEST0001,M23,PBS,40,NA,5,NA,uM,311,311,uL
TEST0001,M24,RD36882,40,NA,2,NA,uM,312,312,uL
TEST0001,N01,DMSO,40,NA,NA,infinite,uM,313,313,uL
TEST0001,N02,DMSO,40,NA,NA,infinite,uM,314,314,uL
TEST0001,N03,CMPD-0054212-1,40,NA,100.4976709,NA,uM,315,315,uL
TEST0001,N04,CMPD-0054212-1,40,NA,100.2272249,NA,uM,316,316,uL
TEST0001,N05,CMPD-0054212-1,40,NA,100.6219888,NA,uM,317,317,uL
TEST0001,N06,CMPD-0054212-1,40,NA,100.1498055,NA,uM,318,318,uL
TEST0001,N07,CMPD-0089108-1,40,NA,100.5309419,NA,uM,319,319,uL
TEST0001,N08,CMPD-0089108-1,40,NA,100.3028877,NA,uM,320,320,uL
TEST0001,N09,CMPD-0089108-1,40,NA,100.6297849,NA,uM,321,321,uL
TEST0001,N10,CMPD-0089108-1,40,NA,100.2702359,NA,uM,322,322,uL
TEST0001,N11,CMPD-0052746-1,40,NA,100.5204922,NA,uM,323,323,uL
TEST0001,N12,CMPD-0052746-1,40,NA,100.9653502,NA,uM,324,324,uL
TEST0001,N13,CMPD-0052746-1,40,NA,100.1740714,NA,uM,325,325,uL
TEST0001,N14,CMPD-0052746-1,40,NA,100.1930109,NA,uM,326,326,uL
