"BARCODE","WELL_NAME","WELL_ID","BATCH_CODE","VOLUME","VOLUME_UNIT","CONCENTRATION","CONCENTRATION_UNIT"
"BF00007320","B04",57058,"CRA-024555-1",12,"uL",9.89,"mM"
"BF00007320","G15",57238,"CRA-024735-1",12,"uL",10.1,"mM"
"BF00007320","I15",57240,"CRA-024737-1",12,"uL",10.11,"mM"
"BF00007320","J15",57241,"CRA-024738-1",12,"uL",10.11,"mM"
"BF00007320","P15",57247,"CRA-024744-1",12,"uL",9.87,"mM"
"BF00007325","F08",57471,"CRA-024968-1",12,"uL",10.04,"mM"
"BF00007325","N08",57478,"CRA-024976-1",12,"uL",9.9,"mM"
"BF00007320","C05",57075,"CRA-024572-1",12,"uL",10.12,"mM"
"BF00007320","F05",57078,"CRA-024575-1",12,"uL",10.16,"mM"
"BF00007320","D16",57251,"CRA-024748-1",12,"uL",10.03,"mM"
"BF00007320","H16",57255,"CRA-024752-1",12,"uL",10.04,"mM"
"BF00007320","P16",57263,"CRA-024760-1",12,"uL",10.01,"mM"
"BF00007320","K05",57083,"CRA-024580-1",12,"uL",10.12,"mM"
"BF00007320","O05",57086,"CRA-024583-1",12,"uL",9.95,"mM"
"BF00007320","E06",57092,"CRA-024589-1",12,"uL",10.09,"mM"
"BF00007320","B17",57265,"CRA-024762-1",12,"uL",10.25,"mM"
"BF00007320","D17",57267,"CRA-024764-1",12,"uL",10.16,"mM"
"BF00007320","F17",57269,"CRA-024766-1",12,"uL",9.9,"mM"
"BF00007320","J17",57272,"CRA-024769-1",12,"uL",9.97,"mM"
"BF00007320","O17",57277,"CRA-024774-1",12,"uL",10.11,"mM"
"BF00007325","C09",57482,"CRA-024980-1",12,"uL",10.11,"mM"
"BF00007320","J06",57097,"CRA-024594-1",12,"uL",10.09,"mM"
"BF00007320","K06",57098,"CRA-024595-1",12,"uL",10.14,"mM"
"BF00007320","O06",57102,"CRA-024599-1",12,"uL",10.02,"mM"
"BF00007320","E18",57283,"CRA-024780-1",12,"uL",10.09,"mM"
"BF00007320","J18",57288,"CRA-024785-1",12,"uL",10.02,"mM"
"BF00007320","N18",57292,"CRA-024789-1",12,"uL",9.93,"mM"
"BF00007325","M10",57508,"CRA-025006-1",12,"uL",10.1,"mM"
"BF00007320","A07",57104,"CRA-024601-1",12,"uL",9.89,"mM"
"BF00007320","J07",57113,"CRA-024610-1",12,"uL",10.09,"mM"
"BF00007320","K19",57304,"CRA-024801-1",12,"uL",10.15,"mM"
"BF00007325","H11",57519,"CRA-025017-1",12,"uL",9.83,"mM"
"BF00007320","C08",57122,"CRA-024619-1",12,"uL",10.07,"mM"
"BF00007320","C20",57312,"CRA-024809-1",12,"uL",9.93,"mM"
"BF00007320","F20",57315,"CRA-024812-1",12,"uL",9.97,"mM"
"BF00007320","M20",57322,"CRA-024819-1",12,"uL",10.12,"mM"
"BF00007320","P08",57135,"CRA-024632-1",12,"uL",10.02,"mM"
"BF00007320","A09",57136,"CRA-024633-1",12,"uL",9.96,"mM"
"BF00007320","I09",57144,"CRA-024641-1",12,"uL",9.95,"mM"
"BF00007320","P20",57325,"CRA-024822-1",12,"uL",9.94,"mM"
"BF00007325","N12",57541,"CRA-025039-1",12,"uL",10.04,"mM"
"BF00007320","D22",57345,"CRA-024842-1",12,"uL",10.09,"mM"
"BF00007325","M13",57556,"CRA-025054-1",12,"uL",9.99,"mM"
"BF00007320","E10",57156,"CRA-024653-1",12,"uL",10.01,"mM"
"BF00007320","H10",57159,"CRA-024656-1",12,"uL",9.97,"mM"
"BF00007320","J10",57161,"CRA-024658-1",12,"uL",9.89,"mM"
"BF00007320","L22",57353,"CRA-024850-1",12,"uL",10.01,"mM"
"BF00007320","A23",57358,"CRA-024855-1",12,"uL",10.09,"mM"
"BF00007320","D23",57361,"CRA-024858-1",12,"uL",9.96,"mM"
"BF00007320","I23",57366,"CRA-024863-1",12,"uL",10.07,"mM"
"BF00007325","D15",57577,"CRA-025075-1",12,"uL",10.06,"mM"
"BF00007325","E15",57578,"CRA-025076-1",12,"uL",9.84,"mM"
"BF00007320","C11",57170,"CRA-024667-1",12,"uL",9.99,"mM"
"BF00007320","P11",57183,"CRA-024680-1",12,"uL",10.08,"mM"
"BF00007320","A24",57374,"CRA-024871-1",12,"uL",9.96,"mM"
"BF00007325","K19",57646,"CRA-025144-1",12,"uL",10.06,"mM"
"BF00007325","L19",57647,"CRA-025145-1",12,"uL",10.12,"mM"
"BF00007325","G20",57658,"CRA-025156-1",12,"uL",10.04,"mM"
"BF00007325","I20",57660,"CRA-025158-1",12,"uL",10.11,"mM"
"BF00007325","L20",57662,"CRA-025160-1",12,"uL",10.19,"mM"
"BF00007325","M20",57663,"CRA-025161-1",12,"uL",9.99,"mM"
"BF00007325","B21",57668,"CRA-025166-1",12,"uL",10,"mM"
"BF00007325","E22",57687,"CRA-025185-1",12,"uL",10.11,"mM"
"BF00007325","H22",57690,"CRA-025188-1",12,"uL",9.9,"mM"
"BF00007315","A13",58632,"CRA-024347-1",12,"uL",9.94,"mM"
"BF00007335","N14",58882,"CRA-025756-1",12,"uL",9.85,"mM"
"BF00007335","O14",58885,"CRA-025757-1",12,"uL",10.05,"mM"
"BF00007335","A15",58890,"CRA-025759-1",12,"uL",10.14,"mM"
"BF00007320","I03",58920,"CRA-024546-1",12,"uL",9.93,"mM"
"BF00007320","L03",58924,"CRA-024549-1",12,"uL",9.99,"mM"
"BF00007320","H04",58942,"CRA-024561-1",12,"uL",10.09,"mM"
"BF00007320","L04",58948,"CRA-024565-1",12,"uL",9.96,"mM"
"BF00007320","M04",58949,"CRA-024566-1",12,"uL",9.94,"mM"
"BF00007335","J12",58774,"CRA-025723-1",12,"uL",9.87,"mM"
"BF00007335","O12",58789,"CRA-025727-1",12,"uL",10.1,"mM"
"BF00007335","D16",58943,"CRA-025776-1",12,"uL",9.95,"mM"
"BF00007335","F16",58950,"CRA-025778-1",12,"uL",9.91,"mM"
"BF00007320","D05",58959,"CRA-024573-1",12,"uL",9.96,"mM"
"BF00007320","F05",58962,"CRA-024575-1",12,"uL",10.16,"mM"
"BF00007320","I05",58967,"CRA-024578-1",12,"uL",10.02,"mM"
"BF00007335","O16",58977,"CRA-025787-1",12,"uL",9.86,"mM"
"BF00007320","A07",59001,"CRA-024601-1",12,"uL",9.89,"mM"
"BF00007320","C08",59028,"CRA-024619-1",12,"uL",10.07,"mM"
"BF00007320","G08",59034,"CRA-024623-1",12,"uL",10.02,"mM"
"BF00007320","M08",59043,"CRA-024629-1",12,"uL",10.06,"mM"
"BF00007335","C06",58411,"CRA-025621-1",12,"uL",10.07,"mM"
"BF00007335","E06",58415,"CRA-025622-1",12,"uL",9.93,"mM"
"BF00007335","B07",58466,"CRA-025635-1",12,"uL",10.13,"mM"
"BF00007335","J10",58671,"CRA-025691-1",12,"uL",10.12,"mM"
"BF00007335","N10",58685,"CRA-025695-1",12,"uL",10.11,"mM"
"BF00007325","N23",57712,"CRA-025210-1",12,"uL",10.09,"mM"
"BF00007325","B24",57715,"CRA-025213-1",12,"uL",10.16,"mM"
"BF00007335","I07",58493,"CRA-025642-1",12,"uL",10.02,"mM"
"BF00007335","K11",58724,"CRA-025708-1",12,"uL",9.91,"mM"
"BF00007325","N24",57727,"CRA-025225-1",12,"uL",9.86,"mM"
"BF00007330","L03",57741,"CRA-025239-1",12,"uL",10.16,"mM"
"BF00007315","I08",58534,"CRA-024276-1",12,"uL",9.95,"mM"
"BF00007335","F13",58812,"CRA-025734-1",12,"uL",9.83,"mM"
"BF00007335","L13",58832,"CRA-025740-1",12,"uL",9.9,"mM"
"BF00007335","P08",58580,"CRA-025665-1",12,"uL",9.89,"mM"
"BF00007335","B09",58585,"CRA-025667-1",12,"uL",10.11,"mM"
"BF00007335","D09",58592,"CRA-025669-1",12,"uL",10.04,"mM"
"BF00007335","F09",58599,"CRA-025671-1",12,"uL",10.02,"mM"
"BF00007335","K14",58873,"CRA-025753-1",12,"uL",10.18,"mM"
"BF00007445","D08",58380,"CRA-024161-1",12,"uL",8.94,"mM"
"BF00007315","E12",58616,"CRA-024335-1",12,"uL",10.08,"mM"
"AP00000001","",,"CRA-024345-1",,"",,""
"AP00000001","",,"CRA-024425-1",,"",,""
"AP00000001","",,"CRA-024219-1",,"",,""
"AP00000001","",,"CRA-024283-1",,"",,""
"AP00000001","",,"CRA-024474-1",,"",,""
"BF00007315","L16",56909,"CRA-024406-1",,"",,""
"AP00000001","",,"CRA-024220-1",,"",,""
"AP00000001","",,"CRA-024363-1",,"",,""
"AP00000001","",,"CRA-024475-1",,"",,""
"AP00000001","",,"CRA-025998-1",,"",,""
"AP00000001","",,"CRA-024253-1",,"",,""
"AP00000001","",,"CRA-024238-1",,"",,""
"AP00000001","",,"CRA-024270-1",,"",,""
"AP00000001","",,"CRA-024302-1",,"",,""
"AP00000001","",,"CRA-024333-1",,"",,""
"AP00000001","",,"CRA-024413-1",,"",,""
"AP00000001","",,"CRA-025996-1",,"",,""
"AP00000001","",,"CRA-024223-1",,"",,""
"AP00000001","",,"CRA-024509-1",,"",,""
"BF00007315","",,"CRA-025998-1",,"",,""
"AP00000001","",,"CRA-024192-1",,"",,""
"BF00007320","B09",59051,"CRA-024634-1",12,"uL",9.96,"mM"
"AP00000001","",,"CRA-024367-1",,"",,""
"AP00000001","",,"CRA-024383-1",,"",,""
"AP00000001","",,"CRA-024399-1",,"",,""
"AP00000001","",,"CRA-024447-1",,"",,""
"AP00000001","",,"CRA-024463-1",,"",,""
"AP00000001","",,"CRA-024193-1",,"",,""
"AP00000001","",,"CRA-024257-1",,"",,""
"AP00000001","",,"CRA-024527-1",,"",,""
"AP00000001","",,"CRA-025996-1",,"",,""
"AP00000001","",,"CRA-024449-1",,"",,""
"AP00000001","",,"CRA-024195-1",,"",,""
"AP00000001","",,"CRA-024259-1",,"",,""
"AP00000001","",,"CRA-024275-1",,"",,""
"BF00007315","H16",56905,"CRA-024402-1",,"",,""
"AP00000001","",,"CRA-024434-1",,"",,""
"AP00000001","",,"CRA-024450-1",,"",,""
"BF00007315","I05",56731,"CRA-024228-1",,"",,""
"BF00007315","I07",56763,"CRA-024260-1",,"",,""
"AP00000001","",,"CRA-024213-1",,"",,""
"AP00000001","",,"CRA-024293-1",,"",,""
"AP00000001","",,"CRA-024340-1",,"",,""
"BF00007315","J18",56939,"CRA-024436-1",,"",,""
"AP00000001","",,"CRA-024436-1",,"",,""
"AP00000001","",,"CRA-024500-1",,"",,""
"AP00000001","",,"CRA-024421-1",,"",,""
"AP00000001","",,"CRA-024263-1",,"",,""
"AP00000001","",,"CRA-024295-1",,"",,""
"AP00000001","",,"CRA-024326-1",,"",,""
"AP00000001","",,"CRA-024470-1",,"",,""
"AP00000001","",,"CRA-024216-1",,"",,""
"BF00007315","M08",56783,"CRA-024280-1",,"",,""
"AP00000001","",,"CRA-024391-1",,"",,""
"AP00000001","",,"CRA-023927-1",,"",,""
"AP00000001","",,"CRA-024535-1",,"",,""
"AP00000002","",,"CRA-024257-1",,"",,""
"AP00000002","",,"CRA-024485-1",,"",,""
"AP00000003","",,"CRA-024300-1",,"",,""
"AP00000003","",,"CRA-024493-1",,"",,""
"AP00000003","",,"CRA-024350-1",,"",,""
"AP00000003","",,"CRA-024304-1",,"",,""
"AP00000003","",,"CRA-024447-1",,"",,""
"AP00000003","",,"CRA-024510-1",,"",,""
"BF00007315","E24",57029,"CRA-024526-1",,"",,""
"AP00000003","",,"CRA-025996-1",,"",,""
"AP00000003","",,"CRA-024320-1",,"",,""
"AP00000003","",,"CRA-024352-1",,"",,""
"AP00000003","",,"CRA-025996-1",,"",,""
"AP00000003","",,"CRA-024194-1",,"",,""
"AP00000003","",,"CRA-024290-1",,"",,""
"AP00000003","",,"CRA-024195-1",,"",,""
"AP00000003","",,"CRA-024227-1",,"",,""
"AP00000003","",,"CRA-024259-1",,"",,""
"AP00000003","",,"CRA-024466-1",,"",,""
"AP00000003","",,"CRA-024339-1",,"",,""
"AP00000003","",,"CRA-024372-1",,"",,""
"AP00000003","",,"CRA-024452-1",,"",,""
"AP00000003","",,"CRA-024468-1",,"",,""
"BF00007315","J23",57018,"CRA-024515-1",,"",,""
"AP00000003","",,"CRA-024341-1",,"",,""
"AP00000003","",,"CRA-024453-1",,"",,""
"AP00000003","",,"CRA-024469-1",,"",,""
"AP00000003","",,"CRA-024501-1",,"",,""
"BF00007315","",,"CRA-025998-1",,"",,""
"AP00000003","",,"CRA-024342-1",,"",,""
"AP00000003","",,"CRA-024376-1",,"",,""
"BF00007315","",,"CRA-025996-1",,"",,""
"BF00007315","M22",57006,"CRA-024503-1",,"",,""
"BF00007315","N23",57022,"CRA-024519-1",,"",,""
"BF00007315","",,"CRA-025996-1",,"",,""
"BF00007315","",,"CRA-025996-1",,"",,""
"AP00000002","",,"CRA-024188-1",,"",,""
"AP00000002","",,"CRA-024236-1",,"",,""
"AP00000002","",,"CRA-025996-1",,"",,""
"AP00000002","",,"CRA-024258-1",,"",,""
"AP00000002","",,"CRA-024486-1",,"",,""
"AP00000002","",,"CRA-024216-1",,"",,""
"AP00000002","",,"CRA-024232-1",,"",,""
"AP00000003","",,"CRA-024443-1",,"",,""
"AP00000002","",,"CRA-024411-1",,"",,""
"AP00000002","",,"CRA-024269-1",,"",,""
"AP00000002","",,"CRA-024290-1",,"",,""
"AP00000002","",,"CRA-024423-1",,"",,""
"AP00000002","",,"CRA-024439-1",,"",,""
"AP00000002","",,"CRA-024455-1",,"",,""
"AP00000003","",,"CRA-024253-1",,"",,""
"AP00000002","",,"CRA-024332-1",,"",,""
"AP00000002","",,"CRA-024460-1",,"",,""
"BF00007315","B21",56979,"CRA-024476-1",,"",,""
"AP00000002","",,"CRA-025996-1",,"",,""
"AP00000002","",,"CRA-024338-1",,"",,""
"AP00000002","",,"CRA-024418-1",,"",,""
"AP00000002","",,"CRA-024434-1",,"",,""
"BF00007315","",,"CRA-025998-1",,"",,""
"AP00000002","",,"CRA-024265-1",,"",,""
"AP00000002","",,"CRA-023927-1",,"",,""
"AP00000002","",,"CRA-024408-1",,"",,""
"AP00000003","",,"CRA-024396-1",,"",,""
"BF00007315","C06",56741,"CRA-024238-1",,"",,""
"AP00000002","",,"CRA-024302-1",,"",,""
"AP00000002","",,"CRA-025996-1",,"",,""
"AP00000002","",,"CRA-024276-1",,"",,""
"BF00007315","",,"CRA-025998-1",,"",,""
"AP00000002","",,"CRA-024313-1",,"",,""
"AP00000003","",,"CRA-024492-1",,"",,""
"BF00007315","",,"CRA-025996-1",,"",,""
"AP00000003","",,"CRA-025996-1",,"",,""
"AP00000002","",,"CRA-024445-1",,"",,""
"AP00000002","",,"CRA-024191-1",,"",,""
"BF00007315","D07",56758,"CRA-024255-1",,"",,""
"AP00000002","",,"CRA-024271-1",,"",,""
"AP00000002","",,"CRA-024318-1",,"",,""
"AP00000002","",,"CRA-024451-1",,"",,""
"AP00000002","",,"CRA-024483-1",,"",,""
"BF00007315","I22",57002,"CRA-024499-1",,"",,""
"AP00000002","",,"CRA-024361-1",,"",,""
"AP00000002","",,"CRA-024425-1",,"",,""
"AP00000002","",,"CRA-024441-1",,"",,""
"AP00000003","",,"CRA-024190-1",,"",,""
"AP00000002","",,"CRA-024509-1",,"",,""
"BF00007315","",,"CRA-025998-1",,"",,""
"AP00000002","",,"CRA-024192-1",,"",,""
"AP00000002","",,"CRA-024340-1",,"",,""
"BF00007315","J16",56907,"CRA-024404-1",,"",,""
"AP00000002","",,"CRA-024283-1",,"",,""
"AP00000002","",,"CRA-024505-1",,"",,""
"AP00000003","",,"CRA-024381-1",,"",,""
"AP00000002","",,"CRA-024208-1",,"",,""
"AP00000002","",,"CRA-025996-1",,"",,""
"AP00000002","",,"CRA-025998-1",,"",,""
"AP00000002","",,"CRA-024198-1",,"",,""
"AP00000002","",,"CRA-024325-1",,"",,""
"AP00000002","",,"CRA-024537-1",,"",,""
"AP00000003","",,"CRA-024220-1",,"",,""
"BF00007330","N21",58052,"CRA-025520-1",12,"uL",9.98,"mM"
"BF00007395","E09",58273,"CRA-024081-1",12,"uL",7.75,"mM"
"BF00007330","A07",57821,"CRA-025289-1",12,"uL",9.9,"mM"
"BF00007330","M07",57832,"CRA-025300-1",12,"uL",10.13,"mM"
"BF00007330","O21",58053,"CRA-025521-1",12,"uL",10.02,"mM"
"BF00007400","N20",58289,"CRA-024093-1",12,"uL",9.56,"mM"
"BF00007335","E04",58292,"CRA-025591-1",12,"uL",9.95,"mM"
"BF00007405","O07",58298,"CRA-024100-1",12,"uL",7.84,"mM"
"BF00007405","N08",58299,"CRA-024101-1",12,"uL",8.07,"mM"
"BF00007330","B08",57836,"CRA-025304-1",12,"uL",10.19,"mM"
"BF00007330","O08",57849,"CRA-025317-1",12,"uL",9.91,"mM"
"BF00007330","A23",58071,"CRA-025539-1",12,"uL",9.95,"mM"
"BF00007330","C23",58073,"CRA-025541-1",12,"uL",10.09,"mM"
"BF00007335","I04",58310,"CRA-025595-1",12,"uL",10.02,"mM"
"BF00007330","A09",57851,"CRA-025319-1",12,"uL",9.86,"mM"
"BF00007330","C09",57853,"CRA-025321-1",12,"uL",10.13,"mM"
"BF00007415","B04",58321,"CRA-024117-1",12,"uL",9.07,"mM"
"BF00007415","O05",58327,"CRA-024121-1",12,"uL",8.94,"mM"
"BF00007330","C10",57868,"CRA-025336-1",12,"uL",9.99,"mM"
"BF00007330","D10",57869,"CRA-025337-1",12,"uL",9.89,"mM"
"BF00007330","K10",57875,"CRA-025343-1",12,"uL",10.08,"mM"
"BF00007330","O10",57879,"CRA-025347-1",12,"uL",9.91,"mM"
"BF00007335","A05",58338,"CRA-025603-1",12,"uL",10.15,"mM"
"BF00007330","P10",57880,"CRA-025348-1",12,"uL",9.89,"mM"
"BF00007330","D11",57884,"CRA-025352-1",12,"uL",10.14,"mM"
"BF00007330","I11",57889,"CRA-025357-1",12,"uL",9.98,"mM"
"BF00007330","M11",57893,"CRA-025361-1",12,"uL",10.09,"mM"
"BF00007360","H24",58176,"CRA-024005-1",12,"uL",10.01,"mM"
"BF00007360","J24",58177,"CRA-024006-1",12,"uL",9.12,"mM"
"BF00007435","K11",58355,"CRA-024142-1",12,"uL",8.73,"mM"
"BF00007335","E05",58354,"CRA-025607-1",12,"uL",9.84,"mM"
"BF00007435","G15",58357,"CRA-024144-1",12,"uL",7.8,"mM"
"BF00007435","I15",58359,"CRA-024145-1",12,"uL",8.85,"mM"
"BF00007330","H12",57904,"CRA-025372-1",12,"uL",9.91,"mM"
"BF00007365","M07",58186,"CRA-024013-1",12,"uL",9.01,"mM"
"BF00007365","A13",58195,"CRA-024020-1",12,"uL",9.01,"mM"
"BF00007370","C22",58218,"CRA-024038-1",12,"uL",8.81,"mM"
"BF00007330","O13",57926,"CRA-025394-1",12,"uL",10,"mM"
"BF00007330","G14",57934,"CRA-025402-1",12,"uL",9.88,"mM"
"BF00007380","F04",58235,"CRA-024052-1",12,"uL",8.75,"mM"
"BF00007320","G17",58083,"CRA-023930-1",12,"uL",8.96,"mM"
"BF00007325","P08",58090,"CRA-023936-1",12,"uL",9.13,"mM"
"BF00007330","C15",57946,"CRA-025414-1",12,"uL",9.9,"mM"
"BF00007330","O03",58099,"CRA-023943-1",12,"uL",8.31,"mM"
"BF00007335","J14",58114,"CRA-023955-1",12,"uL",8.62,"mM"
"BF00007330","I15",57952,"CRA-025420-1",12,"uL",10.09,"mM"
"BF00007330","M15",57956,"CRA-025424-1",12,"uL",9.94,"mM"
"BF00007330","E16",57964,"CRA-025432-1",12,"uL",10.09,"mM"
"BF00007335","F18",58120,"CRA-023960-1",12,"uL",8.63,"mM"
"BF00007330","G16",57966,"CRA-025434-1",12,"uL",9.99,"mM"
"BF00007330","K16",57970,"CRA-025438-1",12,"uL",9.96,"mM"
"BF00007330","G24",58156,"CRA-025561-1",12,"uL",10.11,"mM"
"BF00007330","N18",58004,"CRA-025472-1",12,"uL",10.14,"mM"
"BF00007330","P18",58006,"CRA-025474-1",12,"uL",9.94,"mM"
"BF00007335","J03",58245,"CRA-025580-1",12,"uL",10.14,"mM"
"BF00007385","N18",58256,"CRA-024068-1",12,"uL",8.61,"mM"
"BF00007330","N05",57786,"CRA-025272-1",12,"uL",9.93,"mM"
"BF00007330","O05",57793,"CRA-025273-1",12,"uL",10.03,"mM"
"BF00007330","P05",57800,"CRA-025274-1",12,"uL",9.99,"mM"
"BF00007390","J11",58259,"CRA-024070-1",12,"uL",9.32,"mM"
"BF00007390","C12",58260,"CRA-024071-1",12,"uL",9.16,"mM"
"BF00007330","B20",58024,"CRA-025492-1",12,"uL",9.86,"mM"
"BF00007330","F20",58028,"CRA-025496-1",12,"uL",9.93,"mM"
"BF00007330","H20",58030,"CRA-025498-1",12,"uL",9.96,"mM"
"BF00007330","I20",58031,"CRA-025499-1",12,"uL",10.03,"mM"
"BF00007340","C06",62619,"CRA-025957-1",12,"uL",10.07,"mM"
"BF00007340","G06",62623,"CRA-025961-1",12,"uL",10.06,"mM"
"BF00007340","H06",62624,"CRA-025962-1",12,"uL",9.91,"mM"
"BF00007340","E03",59339,"CRA-025912-1",12,"uL",10.09,"mM"
"BF00007325","O14",60091,"CRA-025071-1",12,"uL",10.06,"mM"
"BF00007325","I16",60311,"CRA-025096-1",12,"uL",10.07,"mM"
"BF00007320","I23",59404,"CRA-024863-1",12,"uL",10.07,"mM"
"BF00007325","N17",60470,"CRA-025116-1",12,"uL",9.88,"mM"
"BF00007325","A18",60491,"CRA-025119-1",12,"uL",10.01,"mM"
"BF00007320","B24",59419,"CRA-024872-1",12,"uL",10.11,"mM"
"BF00007320","F24",59425,"CRA-024876-1",12,"uL",9.9,"mM"
"BF00007320","I24",59430,"CRA-024879-1",12,"uL",9.99,"mM"
"BF00007320","K24",59433,"CRA-024881-1",12,"uL",10.12,"mM"
"BF00007325","K18",60566,"CRA-025128-1",12,"uL",10.01,"mM"
"BF00007325","B19",60620,"CRA-025135-1",12,"uL",10.02,"mM"
"BF00007325","G19",60659,"CRA-025140-1",12,"uL",9.95,"mM"
"BF00007325","G03",59450,"CRA-024892-1",12,"uL",9.99,"mM"
"BF00007325","H03",59452,"CRA-024893-1",12,"uL",9.98,"mM"
"BF00007325","J19",60680,"CRA-025143-1",12,"uL",10.09,"mM"
"BF00007315","A03",56691,"CRA-024188-1",,"",,""
"ABC123","",,"CRA-024191-1",,"",,""
"BF00007325","H04",59474,"CRA-024907-1",12,"uL",9.89,"mM"
"BF00007325","L04",59480,"CRA-024911-1",12,"uL",9.9,"mM"
"BF00007325","M04",59482,"CRA-024912-1",12,"uL",10.09,"mM"
"BF00007325","P04",59487,"CRA-024915-1",12,"uL",9.92,"mM"
"BF00007325","H20",60765,"CRA-025157-1",12,"uL",10.23,"mM"
"BF00007325","I20",60772,"CRA-025158-1",12,"uL",10.11,"mM"
"BF00007325","M20",60793,"CRA-025161-1",12,"uL",9.99,"mM"
"BF00007320","J09",59063,"CRA-024642-1",12,"uL",10.1,"mM"
"BF00007325","L21",60900,"CRA-025176-1",12,"uL",9.99,"mM"
"BF00007320","C10",59077,"CRA-024651-1",12,"uL",10.13,"mM"
"BF00007325","C06",59517,"CRA-024934-1",12,"uL",9.88,"mM"
"BF00007325","F06",59522,"CRA-024937-1",12,"uL",10.17,"mM"
"BF00007335","P19",59109,"CRA-025831-1",12,"uL",9.96,"mM"
"BF00007325","J07",59552,"CRA-024956-1",12,"uL",9.85,"mM"
"BF00007335","H21",62514,"CRA-025852-1",12,"uL",9.98,"mM"
"BF00007335","O21",62521,"CRA-025859-1",12,"uL",10.06,"mM"
"BF00007340","J07",62641,"CRA-025979-1",12,"uL",10.07,"mM"
